IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
4,6,3,5	0,0,0,0	1,0,5,2	0,0,1,0	78	39
2,2,0,1	4,0,1,1	2,1,0,4	0,0,0,3	78	39
7,10,5,9	30,23,25,31	1,2,4,3	33,32,11,21	78	39
4,6,3,5	0,0,0,0	1,0,5,4	0,0,1,0	78	39
2,2,0,1	4,0,1,1	2,1,0,6	0,0,0,3	78	39
7,10,5,9	30,23,25,31	1,2,4,5	33,32,11,21	78	39
2,2,0,1	4,0,1,1	2,1,1,4	0,0,0,3	78	39
7,10,5,9	30,23,25,31	1,2,5,3	33,32,11,21	78	39
10,10,6,10	30,23,25,31	0,2,4,5	33,32,11,21	78	39
7,16,15,3	50,58,47,47	19,9,22,10	57,45,38,56	75	39
6,5,7,3	0,0,3,0	8,8,5,11	0,0,1,2	78	39
8,13,9,7	29,51,35,37	2,2,8,8	45,31,29,38	78	39
8,13,9,7	6,6,9,3	2,2,8,8	6,10,8,7	78	39
8,13,10,7	78,49,59,54	2,2,8,8	85,69,92,84	78	39
28,25,29,22	1,7,1,0	44,41,39,32	10,3,4,1	78	39
31,28,34,26	322,287,304,276	47,41,41,35	353,291,332,350	78	39
30,29,29,25	322,287,304,276	47,43,44,40	353,291,332,350	78	39
4,6,2,3	3,3,5,4	4,2,6,8	4,0,2,3	58	39
13,14,21,11	0,0,0,0	7,6,5,22	0,0,1,0	43	39
12,5,14,18	1,7,0,1	8,8,5,9	1,0,0,2	49	39
3,16,7,7	1,4,0,4	4,3,1,6	1,2,1,2	47	39
17,27,30,9	1,0,0,0	11,15,14,22	0,0,0,0	44	39
24,15,30,22	1084,772,835,986	25,18,25,21	923,898,810,957	78	39
4,7,2,4	0,1,2,3	14,5,8,9	1,0,5,1	78	39
4,6,11,4	0,0,0,0	7,3,6,10	0,0,0,1	78	39
632,548,522,518	2,3,0,4	507,479,542,517	3,1,2,3	78	39
190,147,163,152	0,1,0,0	130,123,137,129	0,0,0,0	78	39
48,46,50,64	7,7,1,3	75,33,53,44	7,1,5,3	44	39
82,90,60,55	0,0,0,2	66,82,42,73	2,2,0,0	68	39
2,0,0,0	11,8,9,6	0,1,0,6	8,5,20,10	78	39
11,11,18,8	1,5,0,2	6,15,12,12	0,4,5,4	75	39
53,49,58,49	7,10,10,5	36,56,50,75	8,4,4,10	75	39
179,151,155,168	0,0,1,2	155,139,164,169	1,0,0,1	78	39
637,524,532,616	6,9,4,13	544,506,576,597	8,8,5,9	78	39
1,3,0,1	27,8,17,26	2,0,0,0	7,14,21,20	78	39
12,7,16,7	89,70,79,85	11,11,10,13	132,105,104,107	49	39
53,76,67,53	7,4,5,5	48,53,59,64	5,7,1,1	78	39
6,2,2,3	0,0,0,0	3,4,1,2	0,0,0,1	78	39
6,2,3,4	4,0,0,0	3,3,1,1	0,3,0,0	78	39
2,2,0,0	0,0,1,0	1,0,1,0	0,0,0,0	48	39
6,2,1,1	2,4,4,4	1,4,2,0	3,5,3,4	78	39
