IncLevel1	IncLevel2	IncLevelDifference
0.016,0.017,0.019,0.0	0.019,0.083,0.017,0.031	-0.025
0.368,0.256,0.222,0.44	0.396,0.331,0.284,0.225	0.012
0.259,0.276,0.241,0.423	0.352,0.443,0.215,0.343	-0.038
0.109,0.021,0.0,0.092	0.064,0.0,0.052,0.0	0.027
0.841,0.951,1.0,0.89	0.878,0.939,0.809,1.0	0.014
0.345,0.284,0.294,0.314	0.279,0.248,0.386,0.233	0.023
0.501,0.541,0.565,0.508	0.505,0.469,0.544,0.478	0.03
0.446,0.514,0.526,0.437	0.463,0.443,0.399,0.466	0.038
0.424,0.481,0.583,0.431	0.504,0.443,0.466,0.519	-0.003
0.544,0.467,0.548,0.451	0.477,0.408,0.515,0.532	0.02
0.938,1.0,0.894,0.871	0.857,0.915,0.643,0.963	0.081
0.528,0.568,0.562,0.537	0.404,0.529,0.551,0.528	0.046
0.062,0.2,0.104,0.197	0.247,0.123,0.186,0.135	-0.032
0.455,0.615,0.405,0.402	0.33,0.354,0.412,0.398	0.096
0.667,0.643,0.6,0.4	0.467,0.0,0.588,0.7	0.139
0.66,0.724,0.612,0.68	0.789,0.607,0.428,0.756	0.024
0.467,0.497,0.447,0.411	0.391,0.419,0.394,0.445	0.043
0.487,0.658,0.517,0.52	0.499,0.529,0.473,0.503	0.044
0.156,0.329,0.299,0.223	0.206,0.275,0.267,0.23	0.007
0.798,0.769,0.801,0.79	0.789,0.819,0.813,0.707	0.008
0.454,0.359,0.377,0.453	0.376,0.428,0.401,0.366	0.018
0.531,0.532,0.521,0.533	0.519,0.51,0.548,0.557	-0.004
0.61,0.654,0.608,0.721	0.72,0.703,0.563,0.758	-0.038
0.485,0.539,0.56,0.531	0.591,0.634,0.524,0.715	-0.087
0.0,0.0,0.0,0.0	0.014,0.0,0.0,0.008	-0.005
0.0,0.0,0.0,0.0	0.014,0.022,0.0,0.0	-0.009
0.147,0.167,0.088,0.136	0.154,0.196,0.206,0.13	-0.037
0.151,0.169,0.087,0.14	0.162,0.203,0.219,0.137	-0.043
0.142,0.163,0.208,0.169	0.122,0.261,0.255,0.228	-0.046
0.146,0.164,0.207,0.175	0.129,0.263,0.27,0.242	-0.053
0.419,0.493,0.497,0.542	0.464,0.369,0.432,0.456	0.057
0.209,0.168,0.208,0.229	0.301,0.168,0.276,0.274	-0.051
0.421,0.437,0.338,0.381	0.445,0.454,0.424,0.416	-0.04
0.569,0.604,0.571,0.615	0.366,0.517,0.73,0.672	0.018
