ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
42744	172,174,182,151	0,0,2,0	183,194,206,210	0,0,0,0	208	149
42745	204,210,214,179	4,1,0,2	225,215,240,240	4,3,6,3	217	149
42746	1,1,1,0	5,3,4,6	1,2,1,3	0,7,3,3	259	149
42747	4,16,11,9	0,2,0,0	13,12,8,13	0,0,0,0	279	149
42748	17,32,21,24	0,0,0,0	26,27,22,30	0,1,0,0	279	149
42749	177,155,176,163	0,0,0,0	145,153,184,191	0,0,1,0	244	149
42750	56,50,56,55	1,0,0,0	56,47,65,75	0,0,0,0	244	149
42751	26,42,41,36	1,0,0,0	46,46,49,43	0,0,0,0	204	149
42752	148,146,163,145	1,0,2,0	137,152,167,161	3,0,1,1	204	149
42753	91,90,99,108	0,0,0,0	130,79,90,108	2,0,0,1	241	149
42754	171,142,206,175	0,0,0,0	182,165,193,192	0,0,1,0	207	149
42755	3,4,1,3	100,82,105,136	2,3,5,2	101,86,92,78	226	149
42756	35,30,46,36	0,1,8,4	33,34,36,46	13,6,6,2	155	149
42757	2821,3208,3230,2981	7,2,2,1	2785,2528,2608,2924	3,2,3,2	326	149
42760	959,955,1194,1063	1,1,0,0	996,919,1007,1016	0,0,0,0	281	149
42761	23,23,32,33	0,0,0,0	40,34,43,36	0,1,0,0	309	149
42762	0,0,2,0	11,11,18,13	0,0,0,0	25,14,21,18	277	149
42763	22,18,31,14	0,1,0,0	19,16,21,22	0,0,0,0	296	149
42764	29,20,31,24	0,1,0,0	25,22,32,31	0,0,0,0	314	149
42765	12,18,28,30	0,0,0,1	23,15,22,26	0,0,0,0	260	149
42766	11,9,18,14	0,0,0,1	12,7,15,16	0,0,0,0	300	149
42767	163,202,199,162	4,3,0,5	174,187,203,169	4,7,2,6	297	149
42768	288,306,350,340	0,0,0,0	300,260,261,294	0,1,0,0	223	149
42769	428,436,439,373	0,3,0,1	254,251,311,295	3,0,0,1	307	149
42771	0,0,0,0	0,0,0,1	2,0,2,0	0,0,0,0	256	149
42772	57,39,56,39	0,2,2,1	75,46,68,71	2,0,1,0	283	149
42773	44,32,41,38	0,0,1,0	50,58,54,63	0,0,0,0	263	149
42774	34,41,40,35	1,3,4,6	49,28,40,36	5,5,6,6	376	149
42776	56,60,61,63	0,1,1,0	67,71,65,73	3,0,2,1	170	149
42777	30,32,39,33	0,0,0,0	33,28,42,44	0,1,0,0	230	149
42778	89,115,88,98	2,4,1,1	101,115,100,90	2,2,0,1	227	149
42779	38,62,34,42	0,0,1,1	29,51,34,41	0,2,0,0	227	149
42780	44,45,36,44	0,0,1,1	44,49,37,37	0,2,0,0	268	149
42781	96,97,91,100	3,2,1,1	117,116,107,86	0,4,3,1	268	149
42782	0,0,0,0	0,2,1,0	0,2,0,3	1,1,2,0	189	149
42783	0,0,1,0	2,0,1,1	0,2,0,1	3,2,1,0	189	149
42784	61,69,66,66	1,0,0,0	97,80,91,100	0,1,0,0	268	149
42785	49,39,46,54	16,11,12,10	66,42,37,39	15,16,9,24	204	149
42789	254,264,263,278	67,80,100,81	243,240,232,252	93,61,81,84	260	149
42790	264,306,307,280	2,0,0,3	310,272,249,257	0,0,1,0	270	149
42791	69,73,84,65	1,0,0,1	85,59,70,76	3,0,0,0	270	149
42792	70,92,73,98	1,0,0,1	118,66,81,67	3,0,0,0	214	149
42793	290,337,320,332	0,0,0,0	364,294,283,269	0,0,0,2	214	149
42795	48,42,31,33	0,0,0,0	33,19,15,18	0,0,0,1	221	149
42796	112,116,96,96	0,0,0,0	67,42,52,39	0,0,0,1	332	149
42797	35,37,25,35	7,10,3,8	12,18,16,14	2,7,3,5	260	149
42798	56,64,46,57	31,31,35,34	29,26,25,21	21,15,12,14	260	149
42799	29,34,19,34	5,1,1,5	12,17,16,11	1,1,0,1	260	149
42800	150,157,146,145	0,0,3,0	136,102,83,118	0,0,0,0	283	149
42801	124,180,143,149	1,0,0,1	113,86,85,113	0,0,0,0	316	149
42802	229,212,200,215	0,1,0,1	163,166,144,166	0,1,1,0	386	149
42803	79,79,83,89	0,0,0,0	52,52,43,76	0,0,0,2	283	149
42804	138,166,124,145	2,0,0,1	127,124,97,119	0,0,0,0	273	149
42805	39,40,36,44	45,59,64,45	43,24,24,45	43,36,29,34	179	149
42806	156,198,168,180	0,0,2,0	152,104,137,134	4,2,2,0	250	149
42807	405,390,497,457	0,0,1,4	434,402,431,422	3,0,1,5	255	149
42808	693,662,904,761	0,0,1,4	782,686,720,709	3,0,1,5	276	149
42809	853,834,1068,981	0,0,2,1	985,908,865,941	0,1,0,3	329	149
42810	510,478,637,541	0,0,1,0	570,501,491,554	0,0,0,1	329	149
42811	389,420,464,485	0,0,1,0	415,370,353,391	0,0,0,1	308	149
42812	730,776,894,924	0,0,1,0	830,776,728,775	0,0,0,0	308	149
42813	628,656,690,735	0,1,0,0	632,602,621,623	1,0,4,0	377	149
42814	1,0,0,0	0,0,0,1	0,1,0,0	0,0,0,0	286	149
42816	0,4,2,3	0,0,0,1	2,6,3,0	0,0,0,0	254	149
42817	9,6,3,2	92,76,72,50	7,4,7,4	86,59,60,64	199	149
42818	5,3,0,4	40,35,22,27	1,3,4,10	42,31,28,19	194	149
42819	1,2,2,0	2,2,0,3	0,0,0,4	0,1,3,9	223	149
42820	68,57,34,42	0,0,0,0	54,38,31,42	0,0,0,1	222	149
42821	0,0,1,0	1,2,2,2	2,0,4,3	0,1,1,3	167	149
42822	1,1,1,0	49,34,20,26	2,2,5,3	27,20,13,31	167	149
42823	1,2,5,4	49,34,20,26	1,1,3,4	27,20,13,31	184	149
42824	0,2,3,2	1,1,0,0	2,0,5,3	1,2,4,2	184	149
42825	76,49,81,76	2,0,3,1	94,45,67,65	7,1,2,4	208	149
42826	22,26,18,19	0,2,6,1	21,21,22,14	3,0,0,1	381	149
42827	24,28,18,22	20,19,38,21	29,23,24,16	32,18,31,29	381	149
42828	22,25,18,19	0,3,1,6	21,21,22,17	2,1,3,2	381	149
42829	448,482,582,537	0,1,0,0	631,588,612,675	0,0,0,0	237	149
42830	1,0,0,1	0,2,0,0	0,3,1,2	0,0,0,0	274	149
42832	2,0,0,1	6,5,6,11	1,0,2,0	7,5,4,2	180	149
42835	13,4,11,8	11,6,11,8	21,18,12,12	5,9,11,15	270	149
42836	37,29,43,36	0,0,1,0	39,43,31,37	0,0,0,0	270	149
42838	33,27,19,22	0,1,1,1	17,12,15,11	0,0,0,0	221	149
42839	33,56,40,30	4,2,5,3	38,23,20,37	2,1,1,1	319	149
42840	84,102,72,89	0,0,1,0	67,67,56,59	1,0,0,0	367	149
42841	21,27,19,35	4,4,3,3	18,7,11,12	0,3,6,1	168	149
42842	3,2,1,0	4,4,3,3	2,3,2,2	0,3,6,1	155	149
42843	1499,1645,1147,1203	1,3,1,1	1193,1007,997,1184	0,2,1,0	3775	149
42844	161,204,139,161	0,0,0,0	147,119,171,148	3,0,0,0	306	149
42845	32,22,17,27	5,2,5,0	28,23,29,18	1,0,1,1	263	149
42846	58,51,35,48	34,45,32,31	46,47,55,51	44,31,34,34	263	149
42847	123,129,87,117	0,0,0,0	143,88,103,115	3,0,0,2	376	149
42848	194,204,152,186	0,0,0,0	219,167,188,181	3,0,0,2	334	149
42849	73,47,36,52	0,1,0,0	63,57,54,55	0,0,0,0	243	149
42850	172,156,102,167	0,3,0,0	178,145,180,176	0,2,1,0	268	149
42851	203,252,161,162	3,0,2,0	191,198,241,268	2,0,0,1	289	149
42852	244,237,214,172	0,1,0,0	268,246,271,210	0,0,0,0	284	149
42853	1,0,0,0	1,5,1,0	0,0,1,2	0,2,0,0	270	149
42854	114,98,125,97	44,39,41,46	79,115,88,77	29,32,29,29	206	149
42855	20,24,22,20	12,9,2,11	9,16,10,13	3,3,3,2	206	149
42856	177,161,193,185	12,9,2,11	128,148,125,128	3,3,3,2	243	149
42857	248,207,276,233	8,7,10,6	174,231,187,183	6,8,4,10	243	149
42858	36,37,39,27	0,5,0,5	21,40,43,22	1,1,0,0	236	149
42859	245,206,255,246	55,60,60,36	191,158,126,186	41,55,56,34	170	149
42860	608,580,606,526	0,0,3,0	517,571,528,526	4,0,0,0	308	149
42861	869,799,937,861	0,0,0,0	1029,929,907,888	1,0,0,0	386	149
42862	749,736,905,864	1,0,0,0	1020,850,994,911	0,0,0,0	268	149
42863	736,640,722,719	0,0,2,0	801,763,840,831	0,0,0,0	275	149
42864	518,513,601,597	2,0,0,0	647,610,701,683	1,0,0,0	231	149
42865	258,213,295,260	0,0,0,0	307,293,387,305	1,0,0,0	231	149
42866	752,720,863,754	0,0,0,0	1019,847,980,921	0,0,1,0	290	149
42867	2,1,0,2	0,0,0,0	0,0,0,1	0,2,0,0	204	149
42868	1,0,2,1	2,0,0,1	0,1,0,0	0,0,0,1	537	149
42869	6,5,6,5	0,0,0,0	5,10,4,8	0,1,0,0	233	149
42871	90,69,54,76	0,1,0,1	84,83,83,87	6,2,2,3	540	149
42872	36,26,27,18	0,0,1,0	36,16,23,18	0,0,0,0	235	149
42874	280,284,317,290	12,4,11,2	352,229,271,265	2,6,8,6	290	149
42875	37,35,34,34	0,0,0,0	42,22,34,28	1,0,0,0	210	149
42876	39,37,36,34	6,6,6,9	46,23,34,29	15,3,3,6	210	149
