IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
6,19,12,10	57,66,57,54	10,22,12,17	76,61,61,58	42	39
4,9,2,1	42,29,35,32	0,1,0,3	22,29,30,23	83	39
48,51,57,44	12,9,13,20	53,49,37,57	15,16,27,6	42	39
1,1,0,0	0,0,0,1	0,1,2,1	0,0,0,0	44	39
20,22,12,19	1,2,2,0	17,19,23,23	2,1,1,2	44	39
10,24,10,14	36,42,59,37	18,8,6,10	21,24,30,39	51	39
1,0,0,1	4,9,5,2	1,1,3,3	4,9,10,3	86	39
0,0,1,0	3,3,0,0	0,0,0,0	0,0,0,1	75	39
4,0,0,2	73,38,67,58	2,1,2,1	68,83,75,91	53	39
0,0,0,1	2,0,0,0	0,0,1,1	0,0,0,0	42	39
1,0,0,1	0,0,0,1	0,2,0,2	0,0,2,0	42	39
196,157,167,162	18,14,8,15	211,187,193,178	13,14,16,14	42	39
2,4,0,2	2,2,3,2	4,1,0,2	5,6,8,6	59	39
477,700,697,591	83,69,74,59	722,634,664,695	51,62,44,56	1096	39
0,1,0,0	0,1,0,1	0,0,0,0	0,0,1,2	57	39
1,1,0,1	0,0,0,0	0,0,0,1	0,0,1,0	46	39
0,0,0,2	0,0,0,0	0,4,3,0	0,1,2,0	135	39
8,7,6,4	16,12,9,19	12,8,14,10	12,17,12,10	95	39
4,3,7,4	19,31,21,22	5,3,3,2	24,23,16,29	211	39
18,15,7,6	0,0,1,0	8,2,7,5	0,0,0,2	42	39
11,19,17,26	9,5,14,10	29,18,31,11	4,4,14,7	219	39
8,12,12,19	0,0,0,0	17,11,22,6	1,1,1,0	219	39
0,1,0,1	2,0,0,0	2,2,0,0	0,0,0,1	411	39
2,5,5,3	124,93,84,106	4,1,2,4	100,81,113,108	61	39
14,4,6,6	96,84,86,112	6,3,5,7	100,84,95,119	106	39
5,3,9,6	3,2,3,5	6,0,1,2	6,3,5,5	45	39
5,3,9,7	0,0,1,2	6,0,1,4	2,0,0,0	48	39
3,2,3,6	0,0,1,2	6,3,5,7	2,0,0,0	42	39
7,3,4,1	0,2,2,0	2,0,4,0	1,0,1,0	45	39
7,3,4,2	0,0,0,0	2,0,4,2	0,0,2,0	48	39
0,2,2,1	0,0,0,0	1,0,1,2	0,0,2,0	42	39
0,4,1,2	15,5,13,16	1,2,6,2	17,9,5,16	42	39
0,1,1,1	4,6,4,2	0,1,0,1	4,6,6,4	76	39
1,2,1,3	16,11,17,22	1,0,1,2	15,16,26,25	52	39
2,2,2,0	18,12,9,12	1,1,2,4	14,22,25,11	100	39
1,11,4,5	105,113,90,122	2,9,5,5	88,93,72,94	203	39
1,2,1,0	139,120,146,123	1,1,3,0	106,114,99,114	63	39
6,6,7,4	0,0,0,0	1,2,6,4	0,1,0,0	42	39
8,16,6,6	0,0,0,1	2,5,5,5	0,0,2,0	74	39
21,34,6,12	0,0,0,0	33,23,28,20	0,0,0,1	487	39
3,0,1,0	0,0,0,0	0,0,0,0	0,0,0,1	42	39
6,3,1,2	0,0,0,2	5,5,6,0	0,0,0,0	42	39
1717,1334,1448,1403	5,4,3,5	1417,1436,1390,1503	4,5,1,2	3767	39
1679,1308,1412,1376	5,4,3,5	1385,1402,1374,1462	4,5,1,2	3786	39
1,2,0,2	39,28,36,29	1,0,0,1	33,34,16,42	58	39
348,353,368,384	0,1,0,0	452,433,340,478	1,0,0,1	1114	39
8,5,10,6	3,1,3,5	15,3,15,7	6,2,4,7	113	39
14,10,16,19	1,2,1,4	15,13,16,17	0,3,0,3	108	39
13,4,12,10	0,0,0,0	12,12,13,11	1,0,3,0	108	39
19,15,13,25	0,1,0,0	30,32,20,33	0,0,0,0	90	39
97,63,71,79	6,6,9,3	115,101,112,117	6,10,8,7	90	39
207,197,188,167	2,7,5,4	203,185,204,231	3,3,7,4	104	39
45,43,36,36	1,2,4,5	29,41,35,39	8,1,4,2	56	39
2,1,2,2	1,0,0,0	0,4,3,2	0,0,0,0	56	39
154,116,137,131	2,0,3,3	126,146,129,147	7,0,2,2	139	39
100,101,113,99	2,0,3,3	93,128,77,105	7,0,2,2	345	39
24,47,43,30	78,62,67,62	32,64,14,39	65,82,66,81	245	39
2,0,0,2	0,0,0,1	2,1,3,0	0,0,1,0	91	39
100,102,103,98	40,39,33,35	101,86,118,113	18,39,29,35	1776	39
3825,4458,3841,3829	13,7,18,6	3665,3202,4039,3812	19,2,5,15	6128	39
8,12,14,10	5,5,5,2	18,9,12,29	3,3,2,11	979	39
0,1,2,3	0,0,0,3	0,0,0,0	1,0,2,0	312	39
1,0,2,3	0,0,0,3	0,0,1,0	1,0,2,0	450	39
1,0,0,0	0,1,0,0	0,0,1,0	0,0,0,0	177	39
1,5,2,6	0,0,0,0	4,4,2,5	0,0,2,0	42	39
261,273,250,295	92,84,68,69	380,264,362,355	92,110,105,86	42	39
1,2,1,0	44,36,39,25	0,1,0,0	34,29,20,21	64	39
3,2,0,2	64,46,40,53	0,0,0,2	66,40,56,73	51	39
4,3,0,3	1,3,1,3	2,0,0,2	3,2,1,4	54	39
65,47,40,54	1,3,1,3	68,40,56,73	3,2,1,4	42	39
28,43,26,29	38,35,42,44	29,35,17,19	40,49,49,45	355	39
3,8,7,5	1,0,0,0	6,2,2,4	0,0,0,2	96	39
1,0,1,0	1,7,3,4	0,0,0,0	4,6,0,3	62	39
1,0,0,2	3,2,2,3	0,0,0,1	1,4,3,5	42	39
0,0,1,1	1,0,1,3	3,1,2,0	1,0,3,1	61	39
3,1,1,5	1,0,2,0	5,3,4,7	0,0,0,0	194	39
4,1,1,7	1,0,2,0	3,2,5,8	0,0,0,0	172	39
62,50,61,79	1,2,2,2	51,40,65,58	1,0,2,1	56	39
11,8,9,6	1,0,0,0	8,5,20,10	0,0,0,4	42	39
17,37,45,23	9,7,11,12	14,21,14,22	11,9,7,11	2858	39
1,1,1,3	1,2,4,5	0,0,0,0	1,3,2,0	44	39
0,0,2,1	2,2,0,4	0,0,0,0	3,2,1,1	44	39
15,14,10,18	0,0,0,2	19,19,14,8	0,0,0,0	43	39
4,1,1,1	82,84,73,72	3,4,1,3	85,63,82,110	54	39
114,112,100,94	0,0,2,1	103,96,94,110	0,0,1,0	43	39
5,3,4,1	11,17,11,10	3,2,4,3	15,12,21,14	235	39
