IncLevel1	IncLevel2	IncLevelDifference
0.035,0.009,0.03,0.017	0.037,0.019,0.007,0.059	-0.008
0.41,0.425,0.473,0.404	0.43,0.394,0.39,0.4	0.024
0.547,0.558,0.653,0.677	0.53,0.55,0.509,0.545	0.075
0.308,0.308,0.275,0.289	0.446,0.46,0.372,0.354	-0.113
0.297,0.269,0.328,0.335	0.413,0.455,0.368,0.347	-0.088
0.0,0.051,0.0,0.0	0.039,0.0,0.0,0.0	0.003
0.091,0.172,0.03,0.072	0.238,0.13,0.023,0.147	-0.043
0.44,0.461,0.411,0.446	0.436,0.393,0.432,0.425	0.018
0.558,0.617,0.651,0.588	0.587,0.446,0.593,0.371	0.104
0.428,0.472,0.482,0.437	0.47,0.671,0.471,0.444	-0.059
0.817,0.689,0.642,0.597	0.642,0.731,0.651,0.608	0.028
0.0,0.0,0.301,0.0	0.301,0.0,0.563,0.0	-0.141
0.541,0.611,0.595,0.627	0.636,0.555,0.597,0.661	-0.019
0.506,0.426,0.423,0.456	0.427,0.377,0.432,0.423	0.038
0.146,0.526,0.492,0.693	0.492,0.492,0.293,0.727	-0.037
0.0,0.019,0.041,0.01	0.03,0.013,0.01,0.011	0.001
0.037,0.105,0.096,0.12	0.103,0.082,0.073,0.117	-0.004
0.238,0.241,0.214,0.18	0.206,0.223,0.268,0.184	-0.002
0.233,0.132,0.515,0.338	0.233,0.163,0.296,0.0	0.132
0.682,0.622,0.578,0.535	0.571,0.586,0.407,0.571	0.071
1.0,0.289,1.0,1.0	NA,1.0,1.0,1.0	-0.178
0.289,0.284,0.315,0.303	0.327,0.312,0.364,0.368	-0.045
0.804,0.811,0.781,0.884	0.753,0.819,0.878,0.781	0.012
0.454,0.419,0.487,0.453	0.502,0.391,0.502,0.43	-0.003
0.772,0.914,0.954,0.945	0.902,0.937,0.876,0.97	-0.025
0.353,0.306,0.394,0.344	0.329,0.336,0.473,0.398	-0.035
0.107,0.036,0.022,0.025	0.05,0.029,0.075,0.018	0.004
0.135,0.124,0.073,0.086	0.126,0.122,0.102,0.174	-0.026
0.118,0.093,0.154,0.064	0.139,0.1,0.111,0.156	-0.019
0.46,0.472,0.494,0.467	0.428,0.489,0.521,0.522	-0.017
0.487,NA,NA,NA	NA,NA,NA,0.74	-0.253
0.287,0.187,0.287,0.58	0.453,0.305,0.446,0.332	-0.049
0.56,0.46,0.37,0.561	0.447,0.495,0.425,0.423	0.04
0.978,0.956,0.97,0.985	0.939,0.929,1.0,0.916	0.026
0.888,0.844,0.83,0.883	0.914,0.956,1.0,0.864	-0.072
0.73,0.656,0.612,0.645	0.786,0.88,0.899,0.631	-0.138
1.0,1.0,1.0,1.0	1.0,1.0,1.0,0.979	0.005
1.0,1.0,1.0,1.0	0.0,0.0,NA,NA	1.0
0.545,0.536,0.536,0.545	0.683,0.706,0.219,0.473	0.02
0.542,0.61,0.477,0.526	0.406,0.571,0.517,0.544	0.029
0.757,0.749,0.937,0.854	0.766,0.875,0.942,0.881	-0.042
0.508,0.456,0.508,0.492	0.513,0.486,0.54,0.371	0.013
0.585,0.693,0.606,0.706	0.521,0.572,0.467,0.568	0.115
0.039,0.188,0.069,0.164	0.108,0.07,0.1,0.163	0.005
0.47,0.172,0.059,0.29	0.47,0.0,0.214,0.181	0.031
0.187,0.479,NA,0.315	0.38,1.0,1.0,0.58	-0.413
0.554,0.544,0.517,0.486	0.52,0.461,0.358,0.579	0.046
0.0,0.36,0.428,0.212	0.23,0.183,0.14,0.326	0.03
0.329,0.541,0.688,0.44	0.662,0.567,0.462,0.718	-0.103
0.526,0.533,0.511,0.532	0.47,0.489,0.435,0.508	0.05
0.497,0.508,0.47,0.484	0.483,0.48,0.48,0.463	0.013
0.559,0.525,0.484,0.506	0.462,0.542,0.46,0.5	0.027
0.983,0.975,0.988,0.971	0.966,0.981,0.965,0.97	0.009
0.842,0.831,0.834,0.837	0.794,0.87,0.805,0.814	0.015
0.601,0.617,0.574,0.591	0.55,0.577,0.56,0.601	0.024
0.085,0.112,0.056,0.134	0.12,0.115,0.13,0.12	-0.024
0.026,0.04,0.016,0.042	0.041,0.026,0.044,0.045	-0.008
0.585,0.551,0.55,0.544	0.547,0.568,0.511,0.544	0.015
0.852,0.841,0.857,0.848	0.845,0.878,0.825,0.827	0.006
0.621,0.634,0.627,0.622	0.633,0.593,0.608,0.642	0.007
0.22,0.247,0.211,0.22	0.24,0.17,0.236,0.256	-0.001
0.222,0.247,0.219,0.228	0.24,0.169,0.247,0.273	-0.003
0.625,0.624,0.613,0.62	0.608,0.604,0.609,0.658	0.001
0.0,0.005,0.0,0.002	0.005,0.003,0.0,0.01	-0.003
0.269,0.329,0.269,0.225	0.177,0.256,0.215,0.356	0.022
0.424,0.313,0.336,0.298	0.297,0.349,0.322,0.351	0.013
0.059,0.079,0.146,0.139	0.123,0.112,0.076,0.17	-0.014
0.363,0.249,0.203,0.393	0.368,0.325,0.277,0.198	0.01
0.256,0.269,0.22,0.376	0.324,0.436,0.209,0.307	-0.039
0.107,0.02,0.0,0.078	0.057,0.0,0.05,0.0	0.025
0.841,0.951,1.0,0.89	0.878,0.939,0.809,1.0	0.014
0.345,0.284,0.294,0.314	0.268,0.248,0.386,0.233	0.026
0.501,0.541,0.566,0.508	0.505,0.469,0.544,0.478	0.03
0.446,0.512,0.517,0.441	0.459,0.443,0.399,0.466	0.037
0.424,0.481,0.583,0.434	0.504,0.443,0.461,0.519	-0.001
0.544,0.47,0.557,0.451	0.482,0.408,0.51,0.532	0.023
