"","groupID","featureID","exonBaseMean","dispersion","stat","pvalue","padj","PREECLAMPSIA","CONTROL","log2fold_CONTROL_PREECLAMPSIA","-log10padj","regulation"
"256","Ptprt","E045",10.286542384828,0.0605780326520613,7.15233048951265,0.00748666419518883,0.0607692318544468,6.44642748067878,4.24646549170279,-1.20580631894438,1.21631625326077,"skipped exon"
"257","Rabgap1l","E038",18.4605817442993,0.00246963326456542,20.8466929985756,4.97550574935909e-06,0.00018256167851449,8.69846735414518,6.06159664365646,-1.0443294984055,3.73859037990313,"skipped exon"
"258","Rapgef4","E010",18.2830515814825,0.0714531806880808,6.14699350723538,0.01316356934124,0.090170230813845,6.16948380171749,9.08875314947414,1.12038610252121,1.04493681863537,"included exon"
"259","Rapgef6","E015",25.7159068587485,0.00248350931157927,24.4475936519664,7.63588248476215e-07,3.61817266116441e-05,10.3857025092929,7.00472636150454,-1.13972351908117,4.44151071221315,"skipped exon"
"260","Rasgrf2","E024",10.1359857367545,0.00715571680313464,16.0279408678773,6.24145542038055e-05,0.00149900593957896,6.72079024910295,3.95315886869565,-1.53292217555945,2.82419664632366,"skipped exon"
"261","Rbpj","E005",13.9797451636982,0.0190619180570772,9.47340434253968,0.00208472137236422,0.0238580661352644,7.83792474808502,5.47557183948385,-1.03670433697132,1.6223647618736,"skipped exon"
"262","Reln","E052",172.629808271271,0.00395394422177226,107.466858422586,3.51738372403632e-25,6.22402941034745e-22,25.9415918425439,16.8740408076174,-1.26282319028742,21.2059283638459,"skipped exon"
"263","Reln","E053",129.376980887185,0.00268335247409815,105.431746524948,9.8223563015723e-25,1.5394345165828e-21,22.4947085709788,14.7454925558767,-1.23491708547961,20.8126387800908,"skipped exon"
"264","Reln","E054",130.464951299384,0.00357699892882027,95.5480867670805,1.44342277374884e-22,1.63817534716692e-19,22.5991241461363,14.7765498738654,-1.24242228370368,18.7856396140339,"skipped exon"
"265","Reln","E055",128.693948664429,0.0142290471170818,40.404415567464,2.06473940724834e-10,2.61773324972585e-08,22.3467201425605,14.8814115860631,-1.18879532087001,7.58207461067848,"skipped exon"
"266","Reln","E056",171.146935562897,0.0173029063967844,39.2504010459008,3.72791794024112e-10,4.46817981003525e-08,25.7204182988804,17.03579882175,-1.20963568759109,7.34986935817621,"skipped exon"
"267","Reln","E057",114.948002610142,0.0351794948714598,25.8709174015209,3.65027522796341e-07,1.89855844694871e-05,21.3811858141298,13.4137118715932,-1.360924626537,4.72157602860235,"skipped exon"
"268","Reln","E058",100.661496589688,0.00982679579241787,48.0171798526057,4.22500909907529e-12,7.62373242741475e-10,19.8196920259693,13.137157767886,-1.19900519350409,9.11783235467515,"skipped exon"
"269","Reln","E059",110.71162014294,0.00187094523566361,113.115028607915,2.03612998993821e-26,4.13671229215051e-23,20.899204363689,13.4437952581639,-1.28747750479905,22.3833446831839,"skipped exon"
"270","Reln","E060",102.949234367711,0.00420600936366019,67.0930585347888,2.58988708389722e-16,1.02463663318715e-13,19.9269027216867,13.5243612981722,-1.13041333391868,12.9894301211255,"skipped exon"
"271","Reln","E061",84.6528766491317,0.0113065021203303,43.1017725882871,5.19651537128224e-11,7.44912330626907e-09,18.2320584701121,11.9157621904909,-1.23797442848816,8.12789483673544,"skipped exon"
"272","Reln","E062",95.0276642138093,0.00504812137477031,55.9938908422357,7.2696561532308e-14,1.88397432315004e-11,19.0982384441831,13.1411002571087,-1.08955853234147,10.7249250205401,"skipped exon"
"273","Reln","E063",102.774913413303,0.00110321504585247,93.4136199667115,4.24320752997914e-22,4.36424502477179e-19,19.8955187894907,13.5945681859171,-1.11074747685742,18.3600908745092,"skipped exon"
"274","Reln","E064",71.3175532554048,0.00145339140693699,71.7058785772367,2.49787269077476e-17,1.20192959498438e-14,16.698674292845,11.1441587888979,-1.17563459196461,13.9201209711064,"skipped exon"
"275","Reln","E065",66.94333200385,0.00679201790297972,60.15803822058,8.75386683930649e-15,2.69769914334014e-12,16.4564701948516,10.0739129012886,-1.42563534716186,11.5690064859735,"skipped exon"
"276","Resf1","E007",16.8148726850371,0.00382631778724592,18.6038017564066,1.60899358036622e-05,0.00049206916848055,8.49702338704867,5.73522695369707,-1.13643859548297,3.30797384565123,"skipped exon"
"277","Rev3l","E005",29.4275030827494,0.0412761035140498,9.50400480593871,0.00205023926036799,0.0235858492585248,11.1861962290515,7.29326511470828,-1.23823606083897,1.62734848144284,"skipped exon"
"278","Rev3l","E006",83.1675763222002,0.0107534937140285,30.3178318384471,3.6673882725986e-08,2.54972574436805e-06,18.5146770422123,12.6307136994399,-1.11382240707766,5.59350653098296,"skipped exon"
"279","Rev3l","E007",58.830610098911,0.00832957262579919,26.1170461446854,3.21334620907442e-07,1.70196686691382e-05,15.5076164142125,10.8132186808857,-1.04734824880243,4.76904889880875,"skipped exon"
"280","Rgmb","E010",10.033864906228,0.00586330425719332,11.5319490649126,0.00068410253805595,0.0102633467109709,6.61602076773812,4.52031024103161,-1.10040507105811,1.9887109997401,"skipped exon"
"281","Rin1","E017",12.9699194153783,0.0253582372391723,9.89385742240924,0.00165831383394529,0.0200749417220371,5.12503914562484,7.65505128681923,1.15952821567302,1.69734570681314,"included exon"
"282","Rnaset2b","E007",9.73723369801974,0.0904162680865794,6.05794678525903,0.0138438547129068,0.0932732899477912,4.12074616135686,6.41438177053209,1.27817712767644,1.03024270447471,"included exon"
"283","Rph3a","E028",12.2724028031939,0.0514457258589899,6.8368383737409,0.00892967451858125,0.0689034068305811,7.32420355092654,4.87055793974838,-1.17886336981627,1.16175930449086,"skipped exon"
"284","Ryr1","E081",11.5779822480027,0.0519731786523063,6.52755858885527,0.0106215646609364,0.0777928330972602,7.26971662797666,4.76495959437398,-1.22057658603309,1.10906041187515,"skipped exon"
"285","Ryr1","E082",9.78958201737097,0.0195415425821515,15.3074212945154,9.13569001661133e-05,0.00205433771193969,6.93294123236387,3.96133102721075,-1.6167971123191,2.68732816133465,"skipped exon"
"286","Ryr3","E108",12.8779671625929,0.00404025680240889,15.9494784235882,6.50557017664357e-05,0.00155267270815427,7.60600503562347,4.9494271797426,-1.24164262812327,2.80892008066723,"skipped exon"
"287","Ryr3","E111",13.4445140710375,0.00462048848472372,11.3723648489267,0.00074544907150786,0.0109814771286026,7.60520566266246,5.34496631993107,-1.0192695868207,1.95933923860594,"skipped exon"
"288","Sec16a","E034",35.7580740541522,0.019425404122906,15.5608376434375,7.98923563799789e-05,0.00184188928765969,12.5999277912885,8.73358663505377,-1.06220460977514,2.73473647794129,"skipped exon"
"289","Sema3e","E001",11.1687514928811,0.00637079728338814,11.9010402879701,0.00056102602940259,0.00877059566589957,6.81224990949568,4.60629128384539,-1.13047728488606,2.05697090998307,"skipped exon"
"290","Serinc2","E013",15.2261287535188,0.0347785104831319,8.72687924691152,0.0031355271912428,0.0322174635801499,8.40428281715748,5.60597583555392,-1.17053732872179,1.49190865375247,"skipped exon"
"291","Setd2","E005",32.6752779791943,0.00981659180746409,20.2648149157345,6.74292851100578e-06,0.00023604409433847,11.9029352861925,8.1927995940876,-1.08199604002356,3.62700686084721,"skipped exon"
"292","Sfpq","E019",10.3594517235903,0.0509186658414892,8.89808764875116,0.00285469471567579,0.0300543779150707,7.09809400702613,4.26972387418101,-1.46839784351331,1.52209225691007,"skipped exon"
"293","Slc35b4","E010",9.91648587277015,0.00519183748567238,9.24984231823058,0.00235515703288873,0.0261168505364084,6.56644010078242,4.56108331550939,-1.05273301768757,1.58307919635284,"skipped exon"
"294","Slc7a1","E014",11.3616366477206,0.0154568636434153,12.3000981351792,0.00045293447842676,0.00741216283888449,7.15375203418256,4.62630897402704,-1.2593623168445,2.13005504816963,"skipped exon"
"295","Slc9a8","E006",11.8688295346447,0.00528132002158148,12.7319556249706,0.00035946047411759,0.00617441141012954,7.37212563179179,4.97584210546285,-1.13595476709886,2.20940443620859,"skipped exon"
"296","Slx4","E032",12.4032924139978,0.0129255347541826,11.5883949767799,0.00066364665734084,0.0100277613183948,7.50651032197675,5.03702483810235,-1.15289440602497,1.99879601170402,"skipped exon"
"297","Smarcad1","E011",18.5612985695675,0.00684524071835418,14.1650074739876,0.00016745600020732,0.00337463007814338,6.30993367597125,8.99181931150503,1.02429891541642,2.47177382692959,"included exon"
"298","Snurf+gene-Ipw+gene-Snhg14+gene-Snrpn","E015",18.6299790462666,0.0417646942744663,7.95799107135676,0.0047875523552688,0.0439947937118861,9.05375657559642,6.16144389753521,-1.11298665683412,1.35659871433153,"skipped exon"
"299","Snurf+gene-Ipw+gene-Snhg14+gene-Snrpn","E016",10.4643036362365,0.064382435382529,20.2450847628857,6.81282742112181e-06,0.00023798474458278,7.53595422345984,3.24209941917206,-2.43634345505822,3.6234508814135,"skipped exon"
"300","Snurf+gene-Ipw+gene-Snhg14+gene-Snrpn","E017",13.8805482955615,0.0401189725462064,13.0480933178867,0.00030359331935192,0.00539414068298749,8.09648200518427,4.84749944549822,-1.48248926487224,2.26807773102951,"skipped exon"
"301","Snurf+gene-Ipw+gene-Snhg14+gene-Snrpn","E038",21.9919415711686,0.0127012432078472,13.3536260148899,0.00025792344116376,0.00476427356287736,9.70005609654811,6.84201210610877,-1.00982033622768,2.32200330944008,"skipped exon"
"302","Snurf+gene-Ipw+gene-Snhg14+gene-Snrpn","E088",13.7467232038729,0.0165661942782567,11.1315541235973,0.00084871451146566,0.0121092296570864,5.26538451041489,7.86399244086118,1.15937722948981,1.91688348413341,"included exon"
"303","Sorcs3","E001",29.5925174277628,0.0335558666622781,9.99015016081322,0.00157379770334569,0.0192758592775662,11.0858508363933,7.72405119055605,-1.04615764361153,1.71498625290411,"skipped exon"
"304","Srcin1","E029",23.6098882741903,0.0263720582234456,20.7830664840532,5.14357479730651e-06,0.00018780724272108,10.4505908826872,6.19052252754409,-1.51491454578221,3.72628766333111,"skipped exon"
"305","St8sia1","E006",12.7327695911494,0.00907950181811022,16.7051400297308,4.36625397162956e-05,0.00111885427995523,4.82198059620379,7.75227465417782,1.37207328613466,2.95122647248177,"included exon"
"306","Star","E007",30.9544233619798,0.0220924037164971,25.9747690516229,3.45908704830756e-07,1.81229290359021e-05,8.351631034359,11.8678278095123,1.01787425081297,4.74177161011791,"included exon"
"307","Stra6l","E027",9.92121223948175,0.0198614873214579,7.51806770731487,0.00610831685869196,0.0525412316109659,4.50395308206924,6.50711880893022,1.06290278565554,1.27949975120017,"included exon"
"308","Strip2","E003",12.7820237342309,0.00498638540977594,11.4592839433617,0.00071137705795651,0.0105866390093648,7.22922318283685,4.97552573684152,-1.07954025913853,1.97524189554545,"skipped exon"
"309","Syne2+gene-Mir5101","E010",14.5943374750612,0.0203089204865702,9.75358217525292,0.00178973622906015,0.0212838670905517,8.02609568538389,5.52428221493795,-1.07974144721895,1.67194946173849,"skipped exon"
"310","Syne2+gene-Mir5101","E011",17.2903102005119,0.0124248302736244,11.2037165415271,0.00081633668634172,0.011747598171297,8.66107044594327,6.12478563457859,-1.00189441590541,1.93005091701585,"skipped exon"
"311","Syne2+gene-Mir5101","E015",18.7090465893967,0.0487417640067081,11.4003403130166,0.00073430653030525,0.0108415951779251,9.38683603535128,5.8021508815898,-1.39118373225295,1.96490681318489,"skipped exon"
"312","Syne2+gene-Mir5101","E018",14.0966018841575,0.0679911510646733,8.65222736398343,0.00326661780478657,0.0331893370640796,8.1248577659324,5.08512822753374,-1.35438961092568,1.4790014222611,"skipped exon"
"313","Syne2+gene-Mir5101","E026",20.4138628780517,0.0027079630032318,17.8660812336632,2.37007910261763e-05,0.0006786666042164,9.42563642033338,6.61580087570246,-1.02389925809792,3.16834352101831,"skipped exon"
"314","Syne2+gene-Mir5101","E030",23.9714297172222,0.00813723156411118,23.3825720903686,1.32776040316992e-06,5.81740050551796e-05,10.4460036767188,6.8471275211694,-1.22228238939369,4.23527103567751,"skipped exon"
"315","Syne2+gene-Mir5101","E031",25.463722529951,0.00309515032959074,21.2066692208284,4.12327245190278e-06,0.00015474166653932,10.5240707949529,7.39467766315067,-1.02144036365944,3.81039273018145,"skipped exon"
"316","Tanc1","E029",11.4465245522337,0.0410431402358491,6.89330332217855,0.00865192402468386,0.0673858310946129,7.23512837265298,4.96870648653157,-1.08586220976465,1.17143141094703,"skipped exon"
"317","Tet3","E014",11.6837176910157,0.0205515350682933,12.7348903717944,0.00035889686177169,0.0061676590602128,7.1527086188969,4.70203922953033,-1.21205068976814,2.20987964150066,"skipped exon"
"318","Thsd7a","E020",25.8585660653661,0.00680459608676657,21.3792431599138,3.76828837278686e-06,0.00014378034031516,10.0446806462631,7.08302634989491,-1.01085826378492,3.84230049278721,"skipped exon"
"319","Tjp1","E037",17.6494060671897,0.0190911092318473,11.0117296942643,0.00090537120172437,0.0127288770987244,8.7831822442065,6.01395368648934,-1.09517908955758,1.89520990674206,"skipped exon"
"320","Tjp1","E039",13.5232083902867,0.00470374487470931,19.546210833102,9.81953105295514e-06,0.00032455137742488,7.92503179391872,4.90827601319882,-1.38459203660871,3.48871654334458,"skipped exon"
"321","Tln1","E060",21.2158042703748,0.00472988810479688,17.4069956077732,3.01713484758723e-05,0.00082366782351241,9.70601025058431,6.81160583868945,-1.02447236331623,3.0842478993483,"skipped exon"
"322","Tln1","E061",20.7546493631924,0.0222089988769283,13.3334920295521,0.00026070756845094,0.00480061321411675,9.75668861815336,6.53048114648567,-1.16137820512163,2.31870328377081,"skipped exon"
"323","Tmem198b","E009",10.418489052253,0.0400059528773804,12.3324781223449,0.00044514507066133,0.0073152439992323,3.84315336790803,6.89264295786109,1.68738672871132,2.13577118344805,"included exon"
"324","Tnk2","E015",15.6185273595898,0.00302447139365395,13.6453499813155,0.0002207874310092,0.00420479837942354,8.24223256891486,5.78915431290642,-1.02131325971293,2.37625482383826,"skipped exon"
"325","Tnk2","E016",13.9644814660119,0.00327298616348461,15.8372196945259,6.90311896851929e-05,0.00163312948524354,7.93934787078075,5.2969963214382,-1.16967164096276,2.78697938017615,"skipped exon"
"326","Tnk2","E017",16.8001045244412,0.00326589965694531,22.3198917701711,2.30803390875113e-06,9.41778557301566e-05,8.81606096612973,5.65237072855865,-1.28514687235045,4.02605120192857,"skipped exon"
"327","Top3a","E021",21.3943467704963,0.0021754347940786,19.2785487202684,1.12968453109528e-05,0.0003645918909103,9.65954305948435,6.82857624755559,-1.00338175918835,3.43819299495716,"skipped exon"
"328","Tpcn2","E026",9.74810278822046,0.0169500010666921,12.7919069623409,0.00034812207663119,0.006022113047276,4.04410634411727,6.54562588379258,1.39092000307725,2.22025109615847,"included exon"
