"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"E2f1",179.116823047453,-0.565356393792965,0.127982130998898,-4.41746351135403,9.98659227286537e-06,0.000199036863241647
"Ttll7",711.185102767897,0.345432880622745,0.0782077952723938,4.41685997437493,1.00145058327751e-05,0.000199291691602688
"Gpr88",653.642798890446,0.295836126362154,0.0669892848159226,4.41617084247237,1.0046469274684e-05,0.000199626223566647
"Ccdc88a",4480.12745001629,0.212889557510965,0.0482936805862335,4.40822805233964,1.04219775027782e-05,0.00020677580063494
"Dck",816.643308980339,-0.270802059355965,0.0614614006202361,-4.40605089736279,1.05272237310921e-05,0.000208549842757004
"Cabin1",1935.77774357962,-0.205968698226906,0.0467800905245105,-4.40291363093854,1.06806694065504e-05,0.000211271980122964
"Sf3a2",658.366409809508,-0.306220347717094,0.0695800826562544,-4.4009770616386,1.07764517792147e-05,0.000212847040089018
"Tspan18",686.494443452567,-0.423253427450457,0.0962387903944453,-4.39795040768598,1.09277939550574e-05,0.000215513110125638
"Tubb4a",3537.21174633171,-0.25624777575299,0.0583014477263801,-4.39522148670493,1.10659863918708e-05,0.000217912264165181
"Spag9",6791.81419022815,0.145802002292702,0.0332012525721608,4.39146089370606,1.12591588277396e-05,0.000221385311039763
"Ncor2",2998.00445951425,-0.231886380821204,0.0528143840657043,-4.39059140655173,1.13042782470269e-05,0.000221941224480376
"Arhgap20",1006.7606156886,0.287824615877916,0.0655671046053519,4.38977163335687,1.13469759557673e-05,0.000222117475841424
