ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
4080	92,123,118,118	20,16,27,14	85,91,108,122	19,21,17,18	312	39	0.646037109364856	0.916652240314852	0.365,0.49,0.353,0.513	0.359,0.351,0.443,0.459	0.027
4081	68,75,62,62	0,4,1,0	47,57,58,81	5,3,0,1	532	39	0.493738438788565	0.821723696012784	1.0,0.579,0.82,1.0	0.408,0.582,1.0,0.856	0.138
4082	43,50,60,32	0,5,1,2	58,27,37,43	0,2,2,1	322	39	0.76550431367393	0.980966626218308	1.0,0.548,0.879,0.66	1.0,0.621,0.691,0.839	-0.016
4083	108,235,162,110	165,160,124,180	138,134,139,147	180,158,179,163	1823	39	0.414523701348804	0.766168296750765	0.014,0.03,0.027,0.013	0.016,0.018,0.016,0.019	0.004
4084	27,51,60,36	4,1,8,1	29,30,61,51	2,5,2,1	2207	39	0.633424377307854	0.908226399609043	0.107,0.474,0.117,0.389	0.204,0.096,0.35,0.474	-0.009
4085	484,856,698,585	70,64,65,82	527,512,510,546	53,61,47,36	1396	39	0.315616629399777	0.704514171008584	0.162,0.272,0.231,0.166	0.217,0.19,0.233,0.298	-0.027
4086	13,5,20,24	2,8,4,2	12,21,7,23	4,4,5,5	270	39	0.850155132394978	0.999202115572178	0.484,0.083,0.419,0.634	0.302,0.431,0.168,0.399	0.08
4087	440,659,579,454	134,151,126,147	544,535,456,553	156,147,169,151	1278	39	0.212863164983092	0.633615009866221	0.091,0.118,0.123,0.086	0.096,0.1,0.076,0.101	0.011
4088	145,243,197,166	103,95,100,105	141,215,151,216	107,125,110,119	387	39	0.198033210638859	0.612023167537313	0.124,0.205,0.166,0.137	0.117,0.148,0.122,0.155	0.022
4089	17,24,5,13	0,1,0,0	12,7,22,23	2,0,0,0	409	39	0.999202115572178	0.999202115572178	1.0,0.696,1.0,1.0	0.364,1.0,1.0,1.0	0.083
4090	5,14,8,8	0,0,2,0	9,13,7,10	0,0,0,1	194	39	0.999202115572178	0.999202115572178	1.0,1.0,0.446,1.0	1.0,1.0,1.0,0.668	-0.055
4091	5,16,8,10	4,2,3,7	9,13,9,10	5,8,3,3	231	39	0.767207075402924	0.981561008119067	0.174,0.575,0.31,0.194	0.233,0.215,0.336,0.36	0.027
4092	13,11,10,16	1,2,2,0	7,11,8,14	0,1,3,1	369	39	0.758789725208513	0.980515762767005	0.579,0.368,0.346,1.0	1.0,0.538,0.22,0.597	-0.015
4093	7,3,4,8	4,0,1,2	3,3,3,2	0,2,0,1	201	39	0.818662447505605	0.998803857523178	0.253,1.0,0.437,0.437	1.0,0.225,1.0,0.28	-0.094
4094	16,15,11,19	1,0,0,0	9,16,10,19	0,0,0,2	391	39	0.78005022886406	0.983973765086122	0.615,1.0,1.0,1.0	1.0,1.0,1.0,0.487	0.032
4095	10,7,5,11	1,0,0,1	5,8,5,7	0,0,0,0	223	39	0.148908033460357	0.555183902074912	0.636,1.0,1.0,0.658	1.0,1.0,1.0,1.0	-0.176
4096	15,17,33,22	58,49,52,41	22,13,24,23	44,54,69,45	535	39	0.665959021834739	0.928165884090229	0.019,0.025,0.044,0.038	0.035,0.017,0.025,0.036	0.003
4097	43,41,32,41	0,0,1,3	30,48,52,60	0,2,4,0	214	39	0.999202115572178	0.999202115572178	1.0,1.0,0.854,0.714	1.0,0.814,0.703,1.0	0.013
4100	2,0,0,2	0,0,2,0	1,0,0,0	0,0,0,0	489	39	0.999202115572178	0.999202115572178	1.0,NA,0.0,1.0	1.0,NA,NA,NA	-0.333
4101	76,121,105,92	105,101,86,85	157,117,152,154	133,101,88,104	183	39	0.0308198393445526	0.348539888118084	0.134,0.203,0.206,0.187	0.201,0.198,0.269,0.24	-0.045
4102	91,109,96,81	150,152,172,165	110,95,132,107	232,191,209,252	249	39	0.118220120824469	0.517213028607054	0.087,0.101,0.08,0.071	0.069,0.072,0.09,0.062	0.011
