IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
19,29,46,34	0,2,0,0	24,25,41,23	0,0,0,0	701	39
87,51,82,60	4,4,5,0	68,57,66,69	2,1,7,0	266	39
681,1046,977,760	3,4,6,6	1018,843,790,995	8,0,9,4	599	39
1244,1816,1732,1356	61,63,65,73	1919,1481,1612,1773	85,97,61,81	1229	39
585,813,780,630	14,11,13,5	938,662,851,827	16,10,6,12	550	39
705,983,875,774	23,49,39,46	1002,812,1047,992	69,35,57,47	712	39
2,9,0,3	1,4,0,1	14,6,6,2	0,0,1,1	758	39
1,1,0,0	0,0,0,1	5,3,4,3	0,1,1,1	666	39
53,25,44,43	34,29,27,33	65,45,69,42	41,38,48,44	141	39
4,12,14,7	13,14,12,8	2,13,10,12	6,12,10,11	108	39
78,105,62,49	31,43,35,24	97,70,86,80	42,39,34,35	305	39
97,86,102,95	4,6,2,10	83,57,115,71	14,4,1,5	599	39
1,0,1,2	1,0,0,0	2,5,2,0	0,0,0,0	403	39
40,80,114,77	9,15,17,12	62,70,67,63	10,8,16,24	1566	39
47,36,52,42	5,9,4,6	55,35,42,25	8,9,8,4	223	39
71,46,31,61	0,5,0,1	46,50,61,95	4,1,0,0	1004	39
71,43,30,55	1,0,0,0	45,50,60,94	0,0,0,2	946	39
79,54,39,66	0,1,3,1	51,55,65,106	1,3,1,0	1145	39
57,91,118,57	42,45,43,31	100,84,87,92	56,59,51,92	396	39
318,415,364,353	1,0,4,1	406,444,358,407	0,0,0,2	2464	39
289,363,327,311	91,116,96,77	349,396,321,350	79,82,69,73	2406	39
2,6,1,0	0,0,3,1	0,1,6,5	0,0,1,0	139	39
6,4,5,2	0,1,0,0	4,2,7,8	0,0,2,0	367	39
10,10,8,3	0,0,1,0	4,3,14,10	1,1,3,0	676	39
6,8,5,2	0,0,1,0	4,3,12,9	0,0,0,0	541	39
2,0,5,1	1,1,2,0	3,3,1,2	2,2,4,1	129	39
259,513,384,259	266,265,288,283	331,281,378,338	300,264,284,289	1730	39
240,405,299,262	2,0,0,0	255,330,246,317	6,0,0,0	1090	39
241,405,299,262	2,0,1,1	255,330,247,317	1,2,0,4	1096	39
72,87,50,66	42,20,26,30	75,48,76,61	36,28,33,38	514	39
306,253,292,242	16,13,27,19	417,347,391,388	30,29,23,12	120	39
306,253,292,240	28,24,30,25	417,347,390,388	38,26,35,40	117	39
7,14,13,6	16,12,17,14	9,15,7,7	13,11,3,19	123	39
213,224,213,202	5,10,9,6	158,193,174,187	5,4,0,10	1082	39
45,62,72,49	0,0,0,1	44,65,52,54	0,0,0,0	420	39
2,3,1,6	0,0,0,0	1,8,3,5	0,1,0,0	347	39
150,245,209,135	7,6,4,7	154,163,150,189	11,4,11,7	819	39
63,109,99,61	13,14,17,15	69,89,74,118	22,20,21,36	148	39
2903,4204,4061,3025	50,43,43,45	4187,3768,3890,4138	60,70,72,59	1506	39
20,24,30,13	1,1,7,1	12,17,27,18	2,0,3,0	142	39
84,97,120,89	3,0,2,5	89,76,96,74	4,4,3,2	581	39
83,95,120,87	0,0,0,0	89,76,95,70	0,1,0,2	512	39
78,89,113,81	6,10,6,6	80,64,75,62	8,11,11,15	411	39
136,148,174,148	3,6,1,2	152,118,149,121	3,1,4,4	740	39
135,146,174,146	0,1,1,0	152,118,148,117	4,2,1,1	671	39
130,140,167,140	9,8,13,13	143,106,128,109	5,11,7,7	570	39
419,594,532,404	6,8,13,11	490,528,514,563	18,17,13,16	320	39
2757,3789,3687,2755	1024,1088,998,1061	3976,3466,3379,3721	920,893,939,988	1533	39
44,44,41,33	0,0,0,0	34,20,24,32	0,0,0,1	372	39
8,7,5,1	0,0,2,0	4,3,4,0	2,1,1,0	432	39
4,10,3,6	0,10,1,1	6,8,3,10	2,4,4,3	297	39
28,27,17,27	0,0,0,0	32,25,27,29	0,1,0,0	128	39
89,78,91,94	0,0,0,0	68,62,77,73	0,0,2,0	288	39
286,433,403,405	6,6,4,4	467,365,457,472	3,4,4,3	2742	39
294,440,412,413	1,1,1,0	474,375,465,479	4,0,1,1	2853	39
97,82,76,79	33,20,25,17	81,88,109,96	26,34,22,23	284	39
181,197,180,156	63,54,58,33	268,235,196,220	80,73,72,41	488	39
13,15,4,17	1,1,0,2	11,1,3,10	1,1,2,1	155	39
34,25,23,27	0,0,0,0	20,21,21,19	0,0,1,0	239	39
19,28,19,22	1,1,2,0	13,21,8,17	1,2,0,3	225	39
3,3,5,4	0,0,0,0	3,8,5,2	1,0,0,0	303	39
18,15,10,4	19,24,23,20	9,17,9,22	25,24,24,19	616	39
110,138,114,113	3,3,3,5	110,134,116,136	7,3,9,2	1540	39
141,188,170,151	12,19,6,6	143,186,156,180	6,11,10,7	2213	39
35,55,60,45	0,1,2,3	41,59,42,51	5,2,4,4	637	39
35,55,59,45	0,1,0,0	41,59,42,51	0,1,3,1	634	39
36,38,25,42	3,0,1,2	52,42,66,45	0,0,2,2	1247	39
36,40,26,42	0,1,3,2	52,44,67,45	1,2,3,1	1277	39
742,1015,1056,875	0,0,0,1	771,729,563,692	0,1,0,1	2827	39
725,988,1030,848	0,0,0,1	753,721,539,676	0,0,0,0	2654	39
469,625,623,509	0,0,0,0	475,471,325,441	2,1,0,0	1862	39
415,617,632,498	4,1,0,1	586,563,594,650	1,5,0,2	623	39
281,463,545,398	0,0,1,1	476,417,415,481	0,4,0,0	436	39
1089,1708,1813,1416	9,9,8,7	1715,1534,1605,1683	13,14,19,7	1631	39
704,1146,1237,957	4,1,0,1	1181,1029,1065,1087	0,3,1,2	1014	39
470,738,766,627	2,2,3,7	771,679,701,682	6,7,6,13	543	39
470,736,762,626	1,15,7,8	769,678,700,681	12,13,12,13	539	39
10,18,8,12	4,4,5,6	18,9,19,7	2,3,5,6	210	39
0,4,8,2	0,0,0,0	0,6,0,0	0,1,0,0	410	39
71,96,83,64	7,13,13,9	71,75,95,63	17,9,1,8	1079	39
0,0,2,0	0,0,0,0	2,2,0,6	0,8,1,0	2765	39
72,117,104,58	3,0,3,5	99,86,97,93	3,0,0,5	481	39
269,422,439,281	0,0,0,2	384,317,352,416	1,3,1,0	1764	39
17,15,7,15	144,61,104,141	39,12,15,13	160,121,161,151	137	39
0,4,5,0	1,0,0,0	0,4,1,2	0,0,0,0	734	39
2,4,0,2	0,1,3,1	1,1,3,3	1,0,1,0	217	39
6,2,2,0	0,0,0,0	1,4,4,4	0,1,0,0	482	39
166,232,153,136	6,2,3,3	147,138,178,212	5,7,7,11	661	39
5,7,3,4	0,0,0,0	5,13,5,4	0,1,0,0	708	39
36,53,48,38	0,0,0,0	39,28,35,52	0,0,0,1	1246	39
237,253,211,215	25,20,25,16	265,269,213,255	33,26,16,17	698	39
58,37,40,70	0,0,0,0	36,35,43,49	0,0,0,1	120	39
32,22,25,25	6,3,5,6	33,34,16,30	5,3,2,1	553	39
680,893,719,605	21,31,13,17	737,786,715,793	26,28,16,13	2018	39
805,1062,893,719	8,2,0,5	879,917,869,956	7,5,4,3	2662	39
155,204,207,140	18,31,16,20	168,150,182,196	21,28,17,14	665	39
107,128,114,88	4,2,0,1	119,85,141,133	3,2,3,1	309	39
365,395,405,350	0,0,1,0	423,363,399,421	0,0,0,0	966	39
2337,2502,2345,2186	0,0,2,3	2362,2161,2209,2412	1,2,1,1	5404	39
2239,2398,2222,2090	3,8,8,3	2247,2044,2100,2251	4,6,5,7	5242	39
1684,1856,1690,1600	1,0,2,2	1677,1475,1487,1650	2,5,0,1	4118	39
1426,1589,1399,1338	0,0,1,1	1373,1197,1229,1362	0,6,0,0	3461	39
90,98,105,102	10,14,10,10	83,52,91,76	13,11,7,12	233	39
33,17,23,17	41,50,54,68	19,23,14,13	40,35,35,48	143	39
0,0,1,1	0,0,0,0	2,0,1,2	0,1,0,0	332	39
79,59,55,73	0,0,0,1	55,47,45,55	1,0,0,0	639	39
2,7,1,5	2,6,2,4	4,0,1,7	5,6,0,3	93	39
5,2,3,8	1,0,0,0	2,2,5,3	0,0,0,0	111	39
311,399,358,306	13,7,13,17	363,344,364,351	25,20,25,30	668	39
12,34,17,21	24,51,45,23	27,19,10,12	39,41,26,42	102	39
82,162,141,127	44,79,69,59	187,128,130,154	72,80,62,66	521	39
105,223,153,121	14,11,13,15	115,89,153,94	25,27,13,13	548	39
