IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
57,90,40,58	6,5,5,9	33,26,33,49	8,6,4,2	78	60
53,84,39,57	103,91,75,70	33,26,32,48	96,69,73,98	78	78
5,3,2,7	1,4,2,0	1,2,8,2	0,0,0,5	78	78
23,16,25,30	0,3,4,1	29,14,20,13	0,0,0,3	78	78
23,16,25,30	4,7,3,7	29,14,20,13	6,2,4,6	78	78
0,3,4,1	4,7,3,7	0,0,0,3	6,2,4,6	78	78
0,1,2,3	3,8,3,9	0,2,0,1	6,2,4,6	78	78
5,8,3,7	115,96,88,119	6,4,0,6	121,78,90,98	78	78
52,27,27,41	116,94,92,121	33,21,35,36	122,78,93,99	78	78
0,4,0,2	164,108,98,117	5,5,1,2	162,123,136,117	78	78
0,4,0,2	340,247,258,261	5,5,1,2	359,295,313,279	78	78
168,164,145,164	203,183,206,221	155,166,166,186	229,197,230,243	78	78
58,43,41,29	229,196,234,236	43,27,29,40	265,211,228,218	69	78
150,146,151,129	9,3,9,5	115,126,156,170	3,7,3,1	78	78
143,136,138,125	267,235,237,270	109,122,143,155	288,253,287,283	78	78
0,0,0,1	132,160,123,148	0,0,0,0	95,101,116,124	78	78
88,98,133,92	175,184,173,161	84,82,75,85	154,123,118,119	78	78
167,179,170,200	187,218,172,182	164,133,166,189	178,163,196,216	78	78
72,55,44,49	117,102,108,136	61,49,69,73	124,115,123,118	78	78
1,5,2,2	5,1,2,2	2,3,1,4	2,0,1,0	78	78
10,12,18,9	9,9,19,9	6,7,11,12	9,5,6,7	78	78
341,331,249,303	207,180,173,167	268,270,325,308	147,159,168,156	78	78
3,4,3,2	1,3,3,5	6,4,5,0	4,8,8,7	78	78
31,20,27,20	32,26,23,33	12,16,26,20	19,28,16,24	78	78
23,9,25,16	311,292,266,289	22,26,12,21	206,225,194,239	78	78
349,282,218,288	365,421,330,381	259,251,284,294	313,328,348,378	78	78
7,7,5,8	4,3,12,8	4,2,1,8	4,2,0,7	78	78
1,0,0,0	18,18,14,17	0,0,0,0	19,14,19,24	78	78
3,4,1,0	25,31,16,22	2,2,0,1	23,19,21,25	78	78
1,0,0,0	18,18,13,15	0,0,0,0	18,13,21,25	78	78
2,0,0,0	18,18,12,15	0,0,0,0	18,14,19,25	78	78
7,5,7,9	18,18,12,15	6,10,5,12	18,14,19,25	78	78
0,0,0,1	18,18,12,15	0,0,0,0	18,14,19,25	78	78
2,4,3,6	18,18,12,15	3,10,4,5	18,14,19,25	78	78
2,1,0,0	3,3,12,5	0,0,0,2	11,2,8,11	78	78
4,5,1,0	9,7,15,9	2,2,0,3	18,5,11,11	78	78
5,5,9,11	3,3,12,5	7,12,5,12	11,3,8,10	78	78
6,13,4,7	3,3,12,5	5,7,2,1	11,3,8,10	78	78
11,18,11,16	3,3,12,5	11,17,7,13	11,3,8,10	78	78
0,0,0,0	3,3,12,5	0,1,1,1	11,3,8,10	78	78
2,4,4,5	3,3,12,5	3,11,6,6	11,3,8,10	78	78
85,100,105,88	91,88,54,104	93,86,89,86	67,63,109,93	78	78
209,191,161,174	102,96,78,93	171,135,162,171	58,77,70,94	78	78
85,60,65,69	17,9,9,14	77,68,63,84	20,17,11,23	78	78
28,14,15,27	15,15,15,13	41,48,19,32	25,15,18,23	78	78
26,16,27,20	16,11,18,21	25,10,17,20	11,10,9,12	78	78
49,31,44,43	25,32,27,23	34,21,38,37	29,26,20,26	78	78
1,6,3,2	55,42,25,49	0,2,3,1	66,60,60,59	78	78
13,15,7,14	55,42,25,49	20,9,10,14	66,60,60,59	78	78
153,162,140,134	55,42,25,49	168,135,148,173	66,60,60,59	78	78
1,6,3,2	9,12,4,5	0,2,3,1	5,11,7,9	78	78
11,8,2,6	13,18,6,14	7,3,5,1	15,9,12,4	78	78
45,48,39,45	94,86,65,90	47,61,49,54	96,83,107,114	78	78
17,13,13,24	16,11,12,19	21,17,16,20	17,20,20,21	78	78
3,9,2,1	20,13,16,20	9,1,6,4	29,27,20,15	78	78
0,1,0,0	20,16,18,18	0,3,2,2	10,12,11,15	78	78
16,14,18,18	19,25,16,15	14,8,7,23	13,17,15,18	78	78
28,17,14,16	33,38,31,37	17,15,16,16	26,22,38,32	78	78
79,99,93,99	86,101,92,130	66,45,54,82	71,77,88,100	78	78
90,104,94,103	78,83,61,64	70,53,57,90	37,41,52,56	78	78
450,407,374,372	260,269,255,291	389,366,411,398	378,261,365,351	78	78
8,6,14,6	92,84,74,69	12,10,8,9	94,111,109,86	78	78
27,21,27,23	47,50,50,67	34,22,25,22	71,34,43,47	78	78
55,61,50,41	17,7,10,7	70,64,29,55	20,18,5,16	78	72
12,15,13,7	13,4,7,7	21,18,3,12	12,12,5,14	78	72
3,13,4,3	13,4,7,7	2,5,2,8	12,12,5,14	78	72
3,13,4,3	12,15,13,7	2,5,2,8	21,18,3,12	78	78
4,2,3,1	25,13,21,21	6,6,0,4	23,23,13,30	78	78
1911,1821,1669,1701	787,737,672,703	1640,1372,1575,1562	717,655,778,805	78	78
96,98,86,80	65,48,44,61	91,63,62,87	56,92,58,66	78	78
15,5,15,4	64,48,44,61	13,4,3,4	58,90,58,67	78	78
4,0,0,1	115,108,101,90	3,2,1,4	104,96,92,109	78	78
93,86,86,73	64,48,44,61	91,62,79,107	58,90,58,67	78	78
82,81,71,70	115,108,101,90	81,60,78,107	104,96,92,109	78	78
16,3,11,21	23,13,28,25	2,9,12,17	19,9,17,20	78	78
31,36,38,25	64,77,63,63	34,25,27,23	76,46,55,61	78	78
0,0,0,0	19,19,35,19	0,1,0,0	23,32,11,20	78	78
56,66,82,76	16,17,13,22	73,52,61,45	18,12,10,9	78	78
5,7,10,10	4,3,3,7	3,5,8,12	1,5,2,5	78	78
0,0,0,1	4,3,2,7	0,1,1,2	1,5,2,5	78	78
3,3,4,8	4,3,2,7	0,2,2,0	1,5,2,5	54	78
3,3,4,8	0,0,0,1	0,2,2,0	0,1,1,2	54	78
2,2,2,4	0,0,0,1	0,1,2,0	0,1,2,1	54	78
14,7,13,16	33,41,24,34	9,14,13,6	39,38,44,44	78	73
6,4,5,8	33,41,24,34	9,10,17,6	39,38,44,44	78	73
2,9,4,5	60,69,40,51	3,5,3,4	75,53,54,56	78	78
2,15,2,1	59,69,41,52	4,4,6,4	75,53,54,56	78	78
63,65,60,47	63,69,40,51	51,56,53,63	75,56,54,56	78	78
4,11,13,4	0,0,1,1	9,7,3,1	3,3,2,1	78	78
4,8,10,8	5,6,6,9	0,1,1,1	6,3,5,4	78	78
35,32,29,31	5,11,4,11	30,24,39,40	5,2,7,3	52	67
35,32,28,33	45,26,29,30	30,24,39,40	39,23,40,35	52	67
63,49,46,49	228,178,158,178	42,29,50,33	183,155,175,159	67	78
63,49,46,49	228,178,157,180	42,29,50,33	183,155,175,159	67	78
