"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","significance","minuslog10padj","regulation","inPublication"
"3094","Dph6",208.874405544565,-0.0676159268188753,0.107360436182194,-0.629803018908465,0.52882347024939,0.71638484605649,"p adj. >= 0.05",0.144853609511522,"not significant",FALSE
"3095","Dph7",288.250830813369,0.0531664595615494,0.110963740888901,0.479133626314748,0.631843569121687,0.789744514194412,"p adj. >= 0.05",0.102513382153893,"not significant",FALSE
"3096","Dpm1",59.0357837675438,-0.263515622690155,0.223756312657629,-1.17769022719534,0.238920124394883,0.447347032231125,"p adj. >= 0.05",0.349355439487376,"not significant",FALSE
"3097","Dpm2",279.982722322324,-0.147249010076226,0.109472855313735,-1.34507325724015,0.178601578398742,0.370476648374276,"p adj. >= 0.05",0.431239160968875,"not significant",FALSE
"3098","Dpm3",45.0177946771309,0.0298182240491464,0.23603641198164,0.126328915944824,0.899471567999113,0.949186033067952,"p adj. >= 0.05",0.0226486608952223,"not significant",FALSE
"3099","Dpp10",612.097527345126,0.435687668165629,0.0853163598855887,5.10673062880198,3.27780488926684e-07,1.11293303121653e-05,"p adj. < 0.05",4.95353096778402,"not significant",FALSE
"3100","Dpp3",851.71901598194,-0.118820449100657,0.0707425420735041,-1.67961802923619,0.0930316575415001,0.239001376063128,"p adj. >= 0.05",0.621599598571097,"not significant",FALSE
"3101","Dpp6",1592.45249855977,0.251668650100317,0.0662658986162671,3.79786066974932,0.000145950319879271,0.00179360962135216,"p adj. < 0.05",2.7462720750831,"not significant",FALSE
"3102","Dpp7",65.2051587743666,-0.138501054861027,0.196301886668395,-0.70555131798092,0.480467207673465,0.678858321953049,"p adj. >= 0.05",0.168220853722768,"not significant",FALSE
"3103","Dpp8",2853.07057961059,0.106095970712558,0.0490572349119921,2.16269773261564,0.0305644356137516,0.108943689062653,"p adj. >= 0.05",0.962797922688486,"not significant",FALSE
"3104","Dpp9",986.539208674825,-0.19662165313045,0.0579729721790411,-3.39160898156493,0.000694835238791585,0.00615172005096797,"p adj. < 0.05",2.21100343638708,"not significant",FALSE
"3105","Dpy19l1",2158.71960663281,-0.165366115088056,0.0580154728809041,-2.85037950871355,0.00436670918035389,0.0258084462727601,"p adj. < 0.05",1.58823814018599,"not significant",FALSE
"3106","Dpy19l3",987.173098958773,-0.196953096539513,0.0572358080677891,-3.44108178408603,0.000579393378932707,0.00533846822361165,"p adj. < 0.05",2.27258333800204,"not significant",FALSE
"3107","Dpy19l4",624.446094347888,0.119019312884315,0.0712678489216622,1.67002813590097,0.0949137970221794,0.24227753574311,"p adj. >= 0.05",0.615686852288792,"not significant",FALSE
"3108","Dpy30",292.44525756538,0.116661592783075,0.100298423070377,1.16314483530032,0.244770743843861,0.453978569533862,"p adj. >= 0.05",0.342964647920122,"not significant",FALSE
"3109","Dpyd",67.861525717313,0.113487677485261,0.195394703027432,0.580812456667918,0.561366858739084,0.741621239172553,"p adj. >= 0.05",0.129817840994957,"not significant",FALSE
