IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen
10,14,9,9	0,0,0,0	10,7,17,8	0,1,0,0	164	149
61,74,64,74	3,12,2,6	75,70,56,73	5,5,12,8	176	149
13,15,14,15	0,0,2,3	21,6,20,18	2,3,4,3	176	149
135,150,159,143	5,8,10,5	132,145,129,160	2,10,4,3	236	149
82,95,112,103	2,3,1,2	101,92,99,122	2,2,5,0	236	149
114,158,133,139	11,14,8,20	127,120,110,116	13,8,11,20	153	149
360,431,227,313	19,10,16,20	380,389,367,418	21,32,20,20	711	149
1,1,1,0	1,0,1,3	0,1,1,0	4,3,3,4	152	149
12,19,6,10	57,66,57,54	17,22,12,10	58,61,61,76	152	149
2,9,4,1	35,29,42,32	3,1,0,0	23,29,30,22	193	149
57,51,48,44	13,9,12,20	57,49,37,53	6,16,27,15	152	149
0,1,1,0	0,0,0,1	1,1,2,0	0,0,0,0	154	149
12,22,20,19	2,2,1,0	23,19,23,17	2,1,1,2	154	149
10,24,10,14	59,42,36,37	10,8,6,18	39,24,30,21	161	149
0,0,1,1	5,9,4,2	3,1,3,1	3,9,10,4	196	149
1,0,0,0	0,3,3,0	0,0,0,0	1,0,0,0	185	149
0,0,4,2	67,38,73,58	1,1,2,2	91,83,75,68	163	149
0,0,0,1	0,0,2,0	1,0,1,0	0,0,0,0	152	149
0,0,1,1	0,0,0,1	2,2,0,0	0,0,2,0	152	149
167,157,196,162	8,14,18,15	178,187,193,211	14,14,16,13	152	149
0,4,2,2	3,2,2,2	2,1,0,4	6,6,8,5	169	149
697,700,477,591	74,69,83,59	695,634,664,722	56,62,44,51	1206	149
0,1,0,0	0,1,0,1	0,0,0,0	2,0,1,0	167	149
0,1,1,1	0,0,0,0	1,0,0,0	0,0,1,0	156	149
0,0,0,2	0,0,0,0	0,4,3,0	0,1,2,0	245	149
6,7,8,4	9,12,16,19	10,8,14,12	10,17,12,12	205	149
7,3,4,4	21,31,19,22	2,3,3,5	29,23,16,24	321	149
7,15,18,6	1,0,0,0	5,2,7,8	2,0,0,0	152	149
17,19,11,26	14,5,9,10	11,18,31,29	7,4,14,4	329	149
12,12,8,19	0,0,0,0	6,11,22,17	0,1,1,1	329	149
0,1,0,1	0,0,2,0	0,2,0,2	1,0,0,0	521	149
5,5,2,3	84,93,124,106	4,1,2,4	108,81,113,100	171	149
6,4,14,6	86,84,96,112	7,3,5,6	119,84,95,100	216	149
9,3,5,6	3,2,3,5	2,0,1,6	5,3,5,6	155	149
9,3,5,7	1,0,0,2	4,0,1,6	0,0,0,2	158	149
3,2,3,6	1,0,0,2	7,3,5,6	0,0,0,2	152	149
4,3,7,1	2,2,0,0	0,0,4,2	0,0,1,1	155	149
4,3,7,2	0,0,0,0	2,0,4,2	0,0,2,0	158	149
2,2,0,1	0,0,0,0	2,0,1,1	0,0,2,0	152	149
1,4,0,2	13,5,15,16	2,2,6,1	16,9,5,17	152	149
1,1,0,1	4,6,4,2	1,1,0,0	4,6,6,4	186	149
1,2,1,3	17,11,16,22	2,0,1,1	25,16,26,15	162	149
2,2,2,0	9,12,18,12	4,1,2,1	11,22,25,14	210	149
4,11,1,5	90,113,105,122	5,9,5,2	94,93,72,88	313	149
1,2,1,0	146,120,139,123	0,1,3,1	114,114,99,106	173	149
7,6,6,4	0,0,0,0	4,2,6,1	0,1,0,0	152	149
6,16,8,6	0,0,0,1	5,5,5,2	0,0,2,0	184	149
6,34,21,12	0,0,0,0	20,23,28,33	1,0,0,0	597	149
1,0,3,0	0,0,0,0	0,0,0,0	1,0,0,0	152	149
