"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Agtpbp1",3015.94117645764,0.228536314257299,0.0419897049932483,9.77199112821176e-09,5.37471361565381e-07
"Ahctf1",1444.83190760803,0.25904641950074,0.0603413978430531,2.53285207183739e-06,6.34368691908476e-05
"AI480526",200.927154837863,-0.260456703933254,0.147402316819309,0.00684164430454854,0.0365916674457999
"AI593442",553.034053145096,0.361018507098344,0.0809098644908204,7.28017623651151e-07,2.2304428311582e-05
"AI606473",63.8366437086059,0.865833255486928,0.267379404155233,4.98647155558456e-05,0.00076032148464434
"Ajm1",739.670379926382,0.212203059146811,0.0849421337756434,0.00210422436675366,0.0146905414984699
"Ak5",221.491829988103,0.252532099227544,0.123180406664078,0.00429957779420593,0.0255237819054873
"Akap10",871.068657353964,0.168221934561688,0.0794992777971647,0.0084712042487337,0.0430151798900548
"Akap11",4192.00682755349,0.404288633915986,0.0538411919900225,5.19407958296679e-15,1.42555842554176e-12
"Akap12",1012.45559256064,0.184152912819319,0.0657102031143438,0.00118169776163038,0.00933874403822352
"Akap5",658.921014306262,0.446748952698123,0.0913391670771263,7.26922394411279e-08,3.01147032200446e-06
"Akap6",2576.23245936547,0.514060103242046,0.0521182743442051,4.35689987708572e-24,8.19968556867533e-21
"Akap9",8580.1648946703,0.273287441342339,0.0377504799326532,6.63604347019374e-14,1.45705394460554e-11
"Akirin2",960.98272316326,-0.144358704371454,0.0621798937538266,0.00688543060467494,0.0367539152293305
"Akna",278.114089475447,-0.329337879020538,0.109497233832231,0.000227190480351983,0.00254075330064264
"Akt1",4282.55416370525,-0.167269472783684,0.0521489103141254,0.00038915234236873,0.00388091821223743
"Akt1s1",951.508568555932,-0.196322990452768,0.0774591058849754,0.00221234306693361,0.015289507637588
"Akt2",1382.45212040264,-0.18100574666146,0.0583461603516378,0.000471883192968937,0.00453104167942622
"Alcam",1659.10041245847,0.202741715991391,0.0530063101609644,2.89515101203853e-05,0.000482798731752993
"Aldh18a1",1126.89803059602,-0.130250952919639,0.0571304800186602,0.00884784363214486,0.0444213003086419
"Aldh1l2",1183.6568069852,0.172126374740728,0.0688084498574701,0.00313303480980844,0.019853102734207
"Aldh4a1",447.300402258191,-0.267953316113547,0.0846890587232259,0.000189919699150457,0.00221539151704453
"Aldoc",993.616551110668,-0.243529784059586,0.0824960936259676,0.000441551828361795,0.00431528470833701
"Alg10b",2645.89696224921,0.155918122815661,0.0488160760492049,0.000458641905464791,0.00443623235138998
"Alg11",589.168528067674,0.290413324895784,0.0934574671080537,0.000201026373722793,0.00230489246947265
"Alk",124.265552363182,0.242895710763116,0.15159262655209,0.0102130813426775,0.0492485847761471
"Alkbh8",1670.82335124881,0.434407688705695,0.0542865293084019,9.89720445269449e-17,4.34619238199324e-14
"Alms1",578.524691488895,0.34503541340041,0.0743185656100577,3.29268115847465e-07,1.11511006636877e-05
"Alox15",235.114578273331,0.518649005447916,0.140741167010973,1.32474753009346e-05,0.000248961825412999
"Aloxe3",54.0008773346395,0.352545690827977,0.275911995747521,0.00786076359010719,0.0407868056463458
"Amph",1482.38961737798,0.149801861198219,0.0590910300574631,0.00371704924956668,0.0227638040952675
"Anapc1",3295.42023147989,0.117261952184995,0.0454625494104238,0.00478115404702166,0.0277109209922848
"Angpt1",247.628790501136,0.251827966666199,0.123767502133527,0.00445255562103364,0.0262119931835477
"Angptl2",67.0796125246236,-0.40283800982835,0.344898546367688,0.00702800320445202,0.0374239750264555
"Ankfn1",56.7729325434393,0.500514356499642,0.259735533497236,0.00209933184980529,0.0146641557737725
"Ankfy1",2169.18191629847,0.118862470853559,0.0419265453983919,0.00222341386266207,0.0153191529763157
"Ankhd1",1470.81452991084,0.196678000174346,0.0724762501531139,0.00134884056875374,0.0103857641151128
"Ankib1",1603.17642029096,0.141716581959648,0.0569018048720077,0.00457878274320707,0.0267854724063099
"Ankle1",91.4491727116099,-0.595854771870395,0.173301102761262,2.9919230839287e-05,0.00049269493384596
"Ankrd11",3729.84788592788,-0.109286034478156,0.041536898403229,0.00450244658594509,0.0264445971124568
"Ankrd13b",3793.38984883256,-0.182341499965915,0.0432444412562714,6.39193023457175e-06,0.00013804473591844
"Ankrd17",3400.79676415982,0.127894988445679,0.0442244415506987,0.00166380359110979,0.0122383855439868
"Ankrd50",1759.60846841267,0.148127885521685,0.0528708443068449,0.00175442492054865,0.0127203048449686
"Ankrd6",953.373204197731,-0.219485288115388,0.0730659133370825,0.000463996075582327,0.00447253030006197
"Anln",203.105196766181,-0.283798593254474,0.126973904843421,0.0023143930974593,0.0157978314331237
"Ano4",173.775671707953,0.277039937551994,0.133720020522575,0.00347861619414817,0.0216677492868596
"Anp32b",954.566714117567,-0.321369476456893,0.0606391745873148,1.26232719799148e-08,6.59916607394435e-07
"Anp32e",2380.50503708538,-0.138187548865564,0.0437771752814657,0.000630795616343201,0.00569965805878281
"Ap2a1",2289.12819428749,-0.180297783458484,0.0494224562065226,6.88009560344661e-05,0.000986271811532162
"Apba1",2575.15843837736,0.222919260383039,0.0487384655823845,9.04721875623967e-07,2.64275077371843e-05
"Apc",12769.5579873798,0.32574495250061,0.0450119361277687,5.27216906584573e-14,1.17721280124494e-11
"Apc2",14860.422166628,0.133457620765147,0.048793351234878,0.00252491027859214,0.0169364399237133
"Apcdd1",1069.81281263701,-0.306114527217107,0.0864798115071401,4.11654362576054e-05,0.000643313709676979
"Aph1a",952.532272766259,-0.177876181529425,0.0840823492179841,0.00752084816039297,0.0394111589757426
