IncLevel1	IncLevel2	IncLevelDifference
0.0,1.0,NA,NA	NA,NA,NA,0.0	0.5
0.0,1.0,1.0,1.0	NA,1.0,1.0,0.456	-0.069
0.0,0.0,0.05,0.0	0.0,0.0,0.0,0.036	0.004
NA,0.0,0.0,0.481	0.0,NA,0.0,NA	0.16
0.786,0.83,0.809,0.813	0.894,0.727,0.814,0.836	-0.008
0.656,0.772,0.917,0.917	0.53,0.629,0.884,0.809	0.102
1.0,0.856,1.0,1.0	1.0,0.629,1.0,1.0	0.057
0.273,NA,NA,NA	0.0,0.0,0.0,0.0	0.273
0.519,0.495,0.68,0.406	0.612,0.449,0.59,0.561	-0.028
0.0,0.006,0.005,0.0	0.006,0.0,0.0,0.0	0.001
0.0,0.317,0.037,0.134	0.11,0.0,0.0,0.0	0.095
0.051,0.04,0.038,0.039	0.026,0.05,0.02,0.022	0.013
0.634,0.188,0.447,0.776	0.51,0.08,0.257,0.257	0.235
0.833,0.558,0.633,0.736	0.782,0.564,0.511,0.518	0.096
1.0,1.0,0.77,0.489	1.0,1.0,1.0,1.0	-0.185
0.47,0.037,0.3,0.055	0.273,0.222,0.328,0.289	-0.062
NA,NA,0.0,NA	0.416,NA,1.0,NA	-0.708
0.03,0.115,0.089,0.064	0.042,0.053,0.083,0.098	0.006
0.026,0.064,0.028,0.074	0.102,0.046,0.05,0.019	-0.006
NA,0.0,0.0,0.522	1.0,0.421,0.267,0.0	-0.248
0.34,NA,0.103,0.0	NA,NA,0.407,0.0	-0.056
NA,1.0,0.0,NA	1.0,NA,1.0,NA	-0.5
0.1,0.088,0.0,0.066	0.0,0.079,0.0,0.107	0.017
1.0,0.829,0.856,0.913	0.823,0.906,0.897,0.918	0.013
1.0,0.936,0.829,0.795	0.871,0.936,0.795,0.926	0.008
0.658,0.407,0.602,0.366	0.562,0.292,0.529,0.729	-0.02
1.0,1.0,1.0,0.676	1.0,1.0,1.0,1.0	-0.081
0.0,0.14,0.042,0.065	0.0,0.0,0.196,0.196	-0.036
0.895,0.575,0.623,0.706	0.692,0.73,0.74,0.712	-0.019
0.905,0.719,1.0,0.568	0.719,1.0,0.874,0.861	-0.065
0.164,0.139,0.149,0.112	0.177,0.167,0.226,0.193	-0.05
0.475,0.184,0.0,0.0	0.73,0.575,0.311,0.819	-0.444
0.15,0.159,0.095,0.158	0.12,0.16,0.14,0.14	0.001
1.0,NA,NA,NA	NA,NA,0.0,NA	1.0
0.024,0.0,0.018,0.019	0.06,0.059,0.0,0.032	-0.022
1.0,0.741,1.0,0.851	1.0,1.0,1.0,1.0	-0.102
1.0,1.0,1.0,0.859	1.0,1.0,1.0,1.0	-0.035
1.0,0.897,0.768,1.0	0.809,1.0,1.0,1.0	-0.036
0.548,0.157,0.188,0.316	0.447,0.447,0.447,0.393	-0.131
0.898,1.0,1.0,1.0	0.907,0.922,0.746,1.0	0.081
0.899,1.0,1.0,1.0	0.917,0.93,0.769,1.0	0.071
0.519,0.378,0.213,0.288	0.618,0.574,0.351,0.258	-0.101
1.0,0.831,1.0,1.0	0.911,1.0,0.595,0.873	0.113
1.0,0.859,1.0,1.0	0.917,1.0,0.643,0.909	0.097
0.764,0.378,0.447,1.0	0.447,0.669,1.0,0.548	-0.019
0.0,0.0,0.0,0.0	0.0,0.134,0.162,0.0	-0.074
NA,0.0,NA,0.0	1.0,0.546,0.643,NA	-0.73
1.0,0.523,1.0,0.687	1.0,0.88,0.868,1.0	-0.134
1.0,0.395,0.766,1.0	0.0,0.821,0.44,0.567	0.333
1.0,1.0,1.0,1.0	0.768,1.0,1.0,1.0	0.058
1.0,1.0,1.0,1.0	1.0,1.0,0.812,1.0	0.047
0.87,1.0,0.625,0.872	0.641,1.0,1.0,1.0	-0.069
0.207,0.239,0.181,0.186	0.193,0.124,0.253,0.072	0.043
1.0,1.0,1.0,1.0	1.0,1.0,0.797,1.0	0.051
0.861,1.0,0.543,0.858	0.572,1.0,1.0,1.0	-0.078
0.196,0.201,0.143,0.174	0.151,0.089,0.229,0.049	0.049
0.0,1.0,0.188,0.317	0.382,1.0,1.0,1.0	-0.469
0.061,0.145,0.08,0.095	0.085,0.029,0.128,0.019	0.03
0.11,0.184,0.147,0.143	0.11,0.031,0.158,0.0	0.071
0.204,0.182,0.101,0.049	0.126,0.139,0.318,0.212	-0.065
0.582,1.0,1.0,1.0	0.766,1.0,0.749,1.0	0.017
0.147,0.146,0.156,0.113	0.124,0.042,0.156,0.029	0.053
0.402,0.593,0.472,0.61	0.434,0.118,0.402,0.183	0.235
0.102,0.151,0.064,0.08	0.06,0.019,0.055,0.016	0.062
0.946,0.69,0.944,1.0	0.95,0.891,0.854,0.725	0.04
0.063,0.057,0.054,0.055	0.056,0.078,0.069,0.074	-0.012
0.054,0.058,0.052,0.05	0.06,0.076,0.07,0.069	-0.015
0.262,0.639,0.542,0.399	0.703,1.0,0.727,0.47	-0.264
1.0,1.0,1.0,1.0	1.0,1.0,0.83,1.0	0.042
1.0,0.401,0.918,0.944	0.808,1.0,1.0,0.882	-0.107
1.0,0.792,0.74,0.624	0.74,0.587,0.487,0.792	0.138
1.0,1.0,0.943,1.0	1.0,1.0,1.0,1.0	-0.014
0.022,0.013,0.012,0.013	0.01,0.015,0.014,0.012	0.002
0.343,0.785,1.0,0.465	0.824,1.0,0.455,0.879	-0.141
1.0,1.0,1.0,1.0	0.828,1.0,1.0,1.0	0.043
1.0,0.992,0.995,0.989	0.992,0.997,0.995,0.991	0.0
1.0,0.99,1.0,1.0	1.0,1.0,1.0,1.0	-0.002
0.98,0.864,0.869,0.954	0.934,0.97,0.911,0.912	-0.015
1.0,1.0,1.0,0.958	1.0,0.972,1.0,0.965	0.005
0.0,0.0,0.12,0.077	0.167,0.048,0.0,0.0	-0.005
1.0,0.639,0.899,0.763	0.707,0.751,0.659,1.0	0.046
0.824,0.798,0.859,0.888	0.858,0.919,0.91,0.784	-0.026
0.988,1.0,1.0,0.979	0.989,1.0,1.0,0.988	-0.002
0.986,0.969,0.982,0.962	0.972,0.971,0.984,0.973	-0.0
0.046,0.146,0.048,0.021	0.052,0.019,0.073,0.164	-0.012
0.16,0.086,0.112,0.072	0.102,0.089,0.083,0.072	0.021
0.911,0.936,0.853,0.891	0.98,0.853,0.978,0.881	-0.025
1.0,1.0,1.0,1.0	0.528,1.0,1.0,1.0	0.118
1.0,1.0,0.457,1.0	1.0,0.359,1.0,1.0	0.024
0.0,1.0,1.0,NA	NA,NA,1.0,1.0	-0.333
0.147,0.256,0.674,0.147	0.0,0.356,0.315,0.187	0.091
