ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR
3783	74,118,101,97	16,15,14,22	68,65,57,47	8,10,16,15	709	201	0.471007339429959	0.840325195882428
3784	12,10,10,13	11,8,7,17	8,11,11,8	2,7,10,8	129	181	0.355635220935848	0.768851059899033
3785	57,35,44,32	282,278,247,236	15,30,25,37	215,186,213,220	150	309	0.19867099475738	0.664441837779082
3786	25,18,20,30	20,14,19,19	19,16,36,24	32,24,19,21	121	111	0.308568851188366	0.744135712256808
3787	100,161,123,110	235,270,210,248	99,112,98,96	186,211,180,187	171	360	0.686227542984289	0.929570276178544
3788	31,32,58,33	0,0,0,3	20,41,34,22	0,0,0,0	69	93	0.552588019533968	0.877819638519547
3789	110,164,176,126	7,17,7,2	103,109,118,96	5,4,7,4	69	93	0.828521750550079	0.980377329185909
3790	88,108,95,88	68,82,104,89	65,68,64,56	48,71,63,55	135	134	0.753990874146251	0.954637144088576
3791	0,2,4,0	15,18,18,16	0,0,1,0	25,24,11,18	91	119	0.067874701237326	0.491810498677782
3792	77,50,77,45	65,59,62,55	48,65,62,63	65,55,49,45	195	158	0.602067625859859	0.89802297891624
3793	17,7,8,14	20,16,16,18	22,19,4,13	19,13,10,18	99	101	0.18572851517769	0.653134228974038
3794	0,0,0,0	5,2,1,4	0,0,1,2	4,3,1,3	87	181	0.0315661957016455	0.408004125157661
3797	0,1,0,1	1,1,0,2	0,0,0,0	0,0,0,3	199	188	0.155482584380926	0.615103142513908
3798	31,25,30,25	16,20,14,12	50,29,51,39	22,12,20,16	134	88	0.119939546180902	0.579545097854349
3799	54,38,45,43	7,16,5,14	46,37,58,48	10,11,15,20	169	439	0.327923101303843	0.751852732016401
3800	54,38,45,43	30,26,40,31	46,37,58,48	38,33,33,36	169	134	0.718183988632264	0.941752466002326
3801	99,100,101,95	61,104,85,62	103,89,92,117	84,80,84,100	205	162	0.424176578396983	0.810234783511221
3802	78,63,64,59	98,112,100,95	62,54,57,76	109,83,76,101	155	194	0.732001388720178	0.947611143559719
3803	2,1,2,1	11,13,7,6	7,4,7,4	18,11,23,7	207	198	0.0204401634535202	0.356969785260723
3804	65,64,66,71	76,74,78,77	69,47,54,53	84,61,72,87	204	220	0.0631892142770981	0.483931915496263
3805	10,8,8,3	56,58,60,57	5,6,7,16	61,43,61,54	63	215	0.608298727530248	0.900198697186384
3806	5,3,0,2	3,4,2,1	0,4,7,2	3,0,5,1	103	130	0.638616208905883	0.911635058779937
3807	1,6,1,1	0,0,2,2	0,0,1,3	0,1,2,4	138	174	0.307670123940557	0.743407111364463
3808	2,4,3,3	0,0,1,0	3,1,0,2	4,0,0,0	155	179	0.170727383527669	0.637142022675552
3809	47,37,36,49	13,5,11,17	37,40,27,33	15,6,6,10	132	184	0.999202115572178	0.999202115572178
3810	42,40,36,51	5,12,10,17	38,45,29,38	18,16,16,16	132	184	0.0119332123267712	0.310025516203419
3811	41,35,33,51	53,81,50,73	36,40,26,34	72,51,53,48	132	273	0.853093447029795	0.990646868557304
3812	41,35,33,51	48,60,40,68	36,40,26,34	65,45,46,42	132	225	0.557004057666114	0.879023436152445
3813	19,14,18,12	59,83,52,71	17,8,21,14	73,51,54,48	184	273	0.694954446256409	0.931575226264035
3814	19,14,18,12	49,65,43,70	17,8,21,14	63,50,49,47	184	225	0.999202115572178	0.999202115572178
3815	32,38,27,34	19,36,21,26	35,31,25,28	25,24,15,36	273	133	0.692379502255939	0.931575226264035
3816	2,0,1,1	3,7,5,0	0,0,3,2	3,1,7,3	93	105	0.999202115572178	0.999202115572178
3817	403,422,432,440	341,348,402,318	324,262,265,305	257,276,210,262	333	189	0.523761364583713	0.863413335028938
3818	3,3,9,7	177,209,244,200	7,4,9,2	195,195,201,245	165	248	0.973299555695029	0.999202115572178
3819	98,104,83,80	29,32,17,26	99,74,71,96	29,25,27,29	182	168	0.332834587464867	0.753149023423593
3820	67,75,83,80	0,3,2,6	94,70,72,76	7,1,4,0	215	135	0.999202115572178	0.999202115572178
3821	20,19,16,36	11,12,5,12	28,22,21,19	12,16,12,15	233	133	0.142903674736461	0.609108336090263
3822	45,64,83,69	4,10,11,6	96,83,69,69	17,9,15,10	199	60	0.123234809122769	0.580327383733482
3823	0,1,3,0	54,107,73,89	2,0,0,0	93,95,90,92	103	196	0.507445552851692	0.856668695866425
3824	24,38,26,19	28,55,46,50	24,16,37,28	52,39,52,46	153	158	0.665746656122109	0.921546218135296
3825	16,12,11,12	28,55,46,50	20,7,16,17	52,39,52,46	166	158	0.745939618532367	0.952304787960446
3826	22,7,11,6	2,0,0,0	14,4,23,14	2,0,1,0	108	108	0.999202115572178	0.999202115572178
3827	693,552,511,667	940,833,769,875	610,532,551,571	864,745,837,869	129	159	0.361370310321567	0.772466216327814
3828	363,338,340,395	134,124,116,135	356,354,358,323	110,102,150,109	255	126	0.536997094295361	0.868115707194854
3829	99,97,85,97	105,113,95,99	93,77,114,97	100,96,116,97	192	120	0.890082236107607	0.999202115572178
3830	34,25,28,26	41,59,42,45	37,37,47,23	57,55,48,56	140	240	0.650343846108848	0.91584438629427
3831	80,84,69,66	85,120,91,88	75,60,60,62	108,77,75,77	120	138	0.814868777373181	0.975987088737355
3832	9,0,1,3	201,202,176,189	1,3,4,7	206,203,187,222	110	216	0.5660277232663	0.882115830496988
3833	4,2,0,1	0,0,0,0	0,1,0,1	1,0,0,0	85	185	0.999202115572178	0.999202115572178
3834	63,40,58,64	13,5,21,6	62,85,42,57	19,17,8,19	232	94	0.214623463643681	0.67158720118322
3837	115,135,96,109	183,195,191,177	99,90,79,93	154,132,125,117	101	90	0.20115641429658	0.665424243552265
3838	184,151,176,142	82,83,47,67	148,141,117,174	70,71,60,71	553	233	0.455508248661651	0.831723654328867
